pincode,households
143301,11521
143302,11521
143303,11521
143304,11521
143305,11521
143401,30437
143402,11521
143406,11521
143407,11521
143408,30437
143409,11521
143410,11521
143411,11521
143412,30437
143413,11521
143414,11521
143415,30437
143416,30437
143419,30437
143422,30437
143501,11521
143502,11521
143504,11521
143505,13883
143506,13883
143507,13883
143511,13883
143512,13883
143513,13883
143514,13883
143515,13883
143516,13883
143517,13883
143518,13883
143519,13883
143520,13883
143521,13883
143525,13883
143526,13883
143527,13883
143528,13883
143529,13883
143530,13883
143531,13883
143532,13883
143533,13883
143534,13883
143601,11521
143602,13883
143603,11521
143604,13883
143605,13883
143606,11521
144001,8783
144002,8783
144005,8783
144008,8783
144020,8783
144024,8783
144025,8783
144026,8783
144028,8783
144029,8783
144030,8783
144031,8783
144032,8783
144033,8783
144034,8783
144035,8783
144036,8783
144037,8783
144039,8783
144040,8783
144041,8783
144042,8783
144043,8783
144044,8783
144101,8783
144102,8783
144103,8783
144104,8783
144105,6747
144106,8783
144201,8783
144202,6747
144204,6747
144205,6747
144206,6747
144207,6747
144208,6747
144209,6747
144210,6747
144211,6747
144212,6747
144213,6747
144214,6747
144216,6747
144221,6747
144222,6747
144223,6747
144224,6747
144301,8783
144302,8783
144303,8783
144305,6747
144306,6747
144311,8783
144401,8464
144402,8464
144403,8783
144404,6747
144405,8783
144406,6747
144407,8783
144408,8464
144409,8783
144410,8783
144411,8464
144416,8783
144417,8783
144418,8783
144419,8783
144511,8783
144519,6747
144520,6747
144523,6747
144527,6747
144528,6747
144529,6747
144530,6747
144531,6747
144601,8464
144602,8464
144603,8464
144606,8464
144620,8464
144621,8464
144622,8464
144623,8783
144624,8464
144625,8464
144626,8464
144628,8464
144629,8783
144630,8783
144631,8464
144632,8464
144633,8783
144701,8783
144702,8783
144703,8783
144801,8783
144802,8464
144803,8464
144804,8464
144805,8783
144806,8783
144819,8464
145001,13883
145022,13883
145023,13883
145024,13883
145025,13883
145026,13883
145027,13883
145029,13883
145101,13883
146001,6747
146021,6747
146022,6747
146023,6747
146024,6747
146101,6747
146102,6747
146103,6747
146104,6747
146105,6747
146106,6747
146107,6747
146108,6747
146109,6747
146110,6747
146111,6747
146112,6747
146113,6747
146114,6747
146115,6747
146116,6747
147001,23287
147002,23287
147003,23287
147004,23287
147005,23287
147006,23287
147007,23287
147021,23287
147101,23287
147102,23287
147103,23287
147104,23287
147105,23287
147111,23287
147201,23287
147202,23287
147203,23287
147301,18628
148001,17126
148002,17126
148017,17126
148018,17126
148019,17126
148020,17126
148021,17126
148022,17126
148023,17126
148024,17126
148025,17126
148026,17126
148027,17126
148028,17126
148029,17126
148030,17126
148031,17126
148033,17126
148034,17126
148035,17126
148106,17126
151001,15096
151002,15096
151003,15096
151004,15096
151005,15096
151101,15096
151102,15096
151103,15096
151104,15096
151105,15096
151106,15096
151108,15096
151111,15096
151201,15096
151202,14928
151203,14928
151204,14928
151205,14928
151206,15096
151207,14928
151208,14928
151209,14928
151210,12940
151211,12940
151212,14928
151213,14928
151301,15096
151302,15096
151401,15096
151501,15096
151502,20892
151503,20892
151504,20892
151505,20892
151506,20892
151507,20892
151508,20892
151509,15096
151510,20892
152001,17625
152002,17625
152003,17625
152004,17625
152005,17625
152021,17625
152022,17625
152023,17625
152024,17625
152025,12940
152026,12940
152028,17625
152031,12940
152032,12940
152033,17625
152101,12940
152107,12940
152112,12940
152113,12940
152114,12940
152115,12940
152116,17625
152117,17625
152121,17625
152122,17625
152123,17625
152124,17625
152128,17625
152132,17625
160001,11472
160002,11472
160003,11472
160009,11472
160011,11472
160012,11472
160014,11472
160015,11472
160017,11472
160018,11472
160019,11472
160020,11472
160022,11472
160023,11472
160025,11472
160030,11472
160036,11472
160047,11472
160055,7811
160059,7811
160062,7811
160071,7811
160101,11472
160102,11472
171001,3215
171002,3215
171003,3215
171004,3215
171005,3215
171006,3215
171007,3215
171008,3215
171009,3215
171010,3215
171011,3215
171012,3215
171013,3215
171018,3215
171019,3215
171102,4477
171103,3215
171201,3215
171202,3215
171203,3215
171204,3215
171205,3215
171206,3215
171207,3215
171208,3215
171209,3215
171210,3215
171211,3215
171212,3215
171213,3215
171214,3215
171215,3215
171216,3215
171217,3215
171218,3215
171219,3215
171220,3215
171221,3215
171222,3215
171223,3215
171224,3215
171225,3215
171226,3215
171301,3215
172001,3215
172002,4135
172021,3215
172022,3215
172023,4135
172024,3215
172025,4135
172026,4135
172027,3215
172028,3215
172029,3215
172030,3215
172031,3215
172032,4135
172033,4135
172101,3215
172102,3215
172103,1410
172104,1410
172105,1410
172106,1410
172107,1410
172108,1410
172109,1410
172110,1410
172111,1410
172112,1410
172113,3343
172114,3343
172115,1410
172116,1410
172117,3343
172118,1410
172201,3215
173001,7684
173021,7684
173022,7684
173023,7684
173024,7684
173025,7684
173026,7684
173027,7684
173029,7684
173030,7684
173031,7684
173032,7684
173101,7684
173104,7684
173201,4477
173202,4477
173204,4477
173205,4477
173206,4477
173207,4477
173208,4477
173209,4477
173211,4477
173212,4477
173213,4477
173214,4477
173215,4477
173217,4477
173218,4477
173220,4477
173221,4477
173222,4477
173223,7684
173225,4477
173229,4477
173230,4477
173233,4477
173234,4477
173235,4477
174101,4477
174102,4477
174103,4477
174301,3236
174302,3236
174303,3236
174306,3236
174307,3236
174308,3236
174314,3236
174315,3236
174316,3236
174317,3236
174319,3236
174320,3236
174321,3236
174503,3236
174507,3236
175001,4434
175002,4434
175003,4434
175004,4434
175005,4434
175006,4434
175007,4434
175008,4434
175009,4434
175010,4434
175011,4434
175012,4434
175013,3343
175014,4434
175015,4434
175016,4434
175017,4434
175018,4434
175019,4434
175021,4434
175023,4434
175024,4434
175025,4434
175026,4434
175027,4434
175028,4434
175029,4434
175030,4434
175031,4434
175032,4434
175033,4434
175034,4434
175035,4434
175036,4434
175037,4434
175038,4434
175039,4434
175040,4434
175042,4434
175046,4434
175047,4434
175048,4434
175049,4434
175050,4434
175051,4434
175052,4434
175101,4135
175102,4135
175103,4135
175104,4135
175105,4135
175106,4434
175121,4434
175123,4135
175124,4434
175125,4135
175126,4135
175128,4135
175129,4135
175130,4135
175131,4135
175132,3343
175133,3343
175134,4135
175136,4135
175138,4135
175139,3343
175140,3343
175141,4135
175142,3343
175143,4135
176001,3343
176021,3343
176022,3343
176023,3343
176025,3343
176026,3343
176027,3343
176028,3343
176029,3343
176030,3343
176031,3343
176032,3343
176033,3343
176036,3343
176037,3343
176038,3343
176041,3343
176047,3343
176051,3343
176052,3343
176053,3343
176054,3343
176055,3343
176056,3343
176058,3343
176059,3343
176060,3343
176061,3343
176062,3343
176063,3343
176064,3343
176065,3343
176066,3343
176071,3343
176073,3343
176075,3343
176076,3343
176077,3343
176081,3343
176082,3343
176083,3343
176084,3343
176085,3343
176086,3343
176087,3343
176088,3343
176089,3343
176090,4434
176091,3343
176092,3343
176093,3343
176094,3343
176095,3343
176096,3343
176097,3343
176098,3343
176101,3343
176102,3343
176103,3343
176107,3343
176115,3343
176125,3343
176128,3343
176200,3343
176201,3343
176202,3343
176203,3343
176204,3343
176205,3343
176206,3343
176207,4700
176208,3343
176209,3343
176210,3343
176211,3343
176214,3343
176215,3343
176216,3343
176217,3343
176218,3343
176225,3343
176301,4700
176302,4700
176303,4700
176304,4700
176305,4700
176306,4700
176308,4700
176309,4700
176310,4700
176311,4700
176312,4700
176313,4700
176314,4700
176315,4700
176316,4700
176317,4700
176318,4700
176319,4700
176320,4700
176321,4700
176323,4700
176324,4700
176325,4700
176401,3343
176402,3343
176403,3343
176501,3343
176502,3343
176601,3236
177031,3236
177034,3343
177039,3236
177043,3343
177101,3343
177103,3343
177104,3343
177105,3343
177106,3343
177107,3343
177108,3343
177109,3236
177110,3236
177111,3343
177112,3343
177113,3343
177114,3343
177117,3343
177201,3236
177202,3236
177203,3236
177204,3236
177205,3236
177206,3236
177207,3236
177208,3236
177209,3236
177210,3236
177211,3236
177212,3236
177213,3236
177219,3236
177220,3236
180017,165914
182202,89038
184121,165914
185101,103657
190001,276033
191132,159946
192129,165914
193224,190340
193502,220762
201001,19633
201002,38936
201003,45412
201004,38936
201005,38936
201006,38936
201007,38936
201008,9386
201009,19009
201010,38936
201011,38936
201012,38936
201013,38936
201014,38936
201015,18885
201016,38936
201017,38936
201019,38936
201102,18885
201103,38936
201201,38936
201204,18885
201206,56158
201301,36385
201303,9740
201304,20122
201305,9386
201306,9622
201307,11276
201309,20122
201310,20122
201311,20122
201312,9622
201313,20122
201314,9386
202001,34445
202002,23882
202121,23882
202122,23882
202123,23882
202124,23882
202125,23882
202126,23882
202127,23882
202128,23882
202129,23882
202130,23882
202131,23882
202132,23882
202133,23882
202134,23882
202135,23882
202136,23882
202137,23882
202138,23882
202139,23882
202140,23882
202141,23882
202142,23882
202143,23882
202145,23882
202150,23882
202155,23882
202165,23882
202170,23882
202280,23882
202281,23882
202282,23882
203001,26880
203002,26880
203129,26880
203131,26880
203132,26880
203135,20122
203141,20122
203150,26880
203155,20122
203201,20122
203202,9504
203203,20122
203205,34789
203206,26880
203207,28416
203209,20122
203389,26880
203390,26880
203391,26880
203392,26880
203393,26880
203394,26880
203395,26880
203396,26880
203397,26880
203398,26880
203399,26880
203401,26880
203402,26880
203403,26880
203405,26880
203407,26880
203408,26880
203409,26880
203411,26880
203412,26880
205001,28683
205119,28683
205121,28683
205247,28683
205261,28683
205262,28683
205263,28683
205264,28683
205265,28683
205267,28683
205268,28683
205301,28683
205303,28683
205304,28683
206001,22886
206002,22886
206003,22886
206120,22886
206121,21309
206122,21309
206123,22886
206124,22886
206125,22886
206126,22886
206127,22886
206128,22886
206129,21309
206130,22886
206131,22886
206241,21309
206242,22886
206243,21309
206244,21309
206245,22886
206246,21309
206247,21309
206248,21309
206249,21309
206250,21309
206251,21309
206252,21309
206253,22886
206255,21309
207001,15952
207002,15952
207003,15952
207120,15952
207121,15952
207122,15952
207123,15952
207124,15952
207125,15952
207241,15952
207242,15952
207243,15952
207244,15952
207245,15952
207246,15952
207247,15952
207248,15952
207249,15952
207250,15952
207301,15952
207302,15952
207401,15952
207402,15952
207403,15952
208001,30894
208002,30894
208003,30894
208004,30894
208005,30894
208006,30894
208007,30894
208008,30894
208009,30894
208010,30894
208011,30894
208012,36411
208013,30894
208014,30894
208015,30894
208016,30894
208017,30894
208019,30894
208020,30894
208021,30894
208022,30894
208023,30894
208024,30894
208025,30894
208026,30894
208027,30894
209101,16967
209111,16967
209112,16967
209115,16967
209121,16967
209125,16967
209202,16967
209203,16967
209204,16967
209205,16967
209206,16967
209208,16967
209209,16967
209210,16967
209214,30894
209217,30894
209301,16967
209302,16967
209303,16967
209304,30894
209305,30894
209306,16967
209307,16967
209308,16967
209310,16967
209311,16967
209312,16967
209401,30894
209402,30894
209501,24138
209502,24138
209503,24138
209504,24138
209505,24138
209601,24138
209602,24138
209621,24138
209622,24138
209625,24138
209651,24138
209652,24138
209720,22527
209721,22527
209722,22527
209723,22527
209724,24138
209725,22527
209727,22527
209728,22527
209729,22527
209731,22527
209732,22527
209733,22527
209734,22527
209735,22527
209736,22527
209738,22527
209739,24138
209743,24138
209745,24138
209747,22527
209749,24138
209801,35590
209821,35590
209825,35590
209827,35590
209831,35590
209841,35590
209859,35590
209861,35590
209862,35590
209863,35590
209864,35590
209865,35590
209866,35590
209867,35590
209868,35590
209869,35590
209870,35590
209871,35590
209881,35590
210001,35564
210120,35564
210121,35564
210123,35564
210125,35564
210126,35564
210128,35564
210129,35564
210201,35564
210202,35564
210203,35564
210204,35892
210205,35892
210206,35892
210207,35892
210208,35892
210209,35892
210301,18462
210341,18462
210421,23806
210422,18462
210423,23806
210424,23806
210425,23806
210426,23806
210427,23806
