pincode,name,lat,lng,psu_branch_count,mpce_combined,hces_ppi,state,district
110055,110055,28.645455,77.209645,18.0,9791.0,48.4,NCT OF DELHI,CENTRAL DELHI
110056,110056,28.681235,77.12113500000001,2.0,10444.0,52.6,NCT OF DELHI,WEST DELHI
110057,110057,28.561275000000002,77.15796499999999,16.0,13844.0,74.4,NCT OF DELHI,NEW DELHI
110058,110058,28.623255,77.08591,37.0,12452.0,65.5,NCT OF DELHI,WEST DELHI
110059,110059,28.62413,77.05521999999999,29.0,12452.0,65.5,NCT OF DELHI,WEST DELHI
110060,110060,28.627025,77.18294,12.0,9791.0,48.4,NCT OF DELHI,CENTRAL DELHI
110061,110061,28.538384999999998,77.063835,5.0,13844.0,74.4,NCT OF DELHI,SOUTH-WEST DELHI
110062,110062,28.52191,77.2399,18.0,12758.0,67.4,NCT OF DELHI,SOUTH DELHI
110063,110063,28.66691,77.10683,24.0,12452.0,65.5,NCT OF DELHI,WEST DELHI
110064,110064,28.626495,77.113195,20.0,12452.0,65.5,NCT OF DELHI,WEST DELHI
110065,110065,28.56584,77.25506999999999,18.0,12758.0,67.4,NCT OF DELHI,SOUTH-EAST DELHI
110066,110066,28.569175,77.18277,9.0,13844.0,74.4,NCT OF DELHI,SOUTH-WEST DELHI
110067,110067,28.54129,77.16915,7.0,13844.0,74.4,NCT OF DELHI,SOUTH DELHI
110068,110068,28.493605000000002,77.21044499999999,4.0,13844.0,74.4,NCT OF DELHI,SOUTH DELHI
110070,110070,28.5272,77.151275,12.0,13844.0,74.4,NCT OF DELHI,NEW DELHI
110071,110071,28.554125,77.005195,7.0,13844.0,74.4,NCT OF DELHI,SOUTH-WEST DELHI
110072,110072,28.645395,76.95073500000001,2.0,13844.0,74.4,NCT OF DELHI,SOUTH-WEST DELHI
110073,110073,28.562825,76.89426499999999,10.0,13844.0,74.4,NCT OF DELHI,SOUTH-WEST DELHI
110074,110074,28.458895,77.200475,8.0,13844.0,74.4,NCT OF DELHI,SOUTH DELHI
110075,110075,28.581674999999997,77.051485,49.0,13844.0,74.4,NCT OF DELHI,SOUTH-WEST DELHI
110076,110076,28.528575,77.30830499999999,7.0,12758.0,67.4,NCT OF DELHI,SOUTH-EAST DELHI
110077,110077,28.557505,77.049295,9.0,13844.0,74.4,NCT OF DELHI,SOUTH-WEST DELHI
110078,110078,28.600524999999998,77.03338,9.0,13844.0,74.4,NCT OF DELHI,SOUTH-WEST DELHI
110080,110080,28.492739999999998,77.23536999999999,3.0,12758.0,67.4,NCT OF DELHI,SOUTH DELHI
110081,110081,28.738355,76.999785,19.0,10444.0,52.6,NCT OF DELHI,NORTH-WEST DELHI
110082,110082,28.791385,77.10701499999999,7.0,10444.0,52.6,NCT OF DELHI,NORTH DELHI
110083,110083,28.69316,77.08848,7.0,10444.0,52.6,NCT OF DELHI,NORTH-WEST DELHI
110084,110084,28.74888,77.20179999999999,9.0,7910.0,36.3,NCT OF DELHI,CENTRAL DELHI
110085,110085,28.7161,77.10519500000001,81.0,10444.0,52.6,NCT OF DELHI,NORTH-WEST DELHI
110086,110086,28.706315,77.062355,14.0,10444.0,52.6,NCT OF DELHI,NORTH-WEST DELHI
110087,110087,28.66809,77.08565,18.0,12452.0,65.5,NCT OF DELHI,WEST DELHI
110088,110088,28.714895,77.15729999999999,19.0,10444.0,52.6,NCT OF DELHI,NORTH-WEST DELHI
110089,110089,28.733645,77.128125,5.0,10444.0,52.6,NCT OF DELHI,NORTH-WEST DELHI
110090,110090,28.747315,77.247525,1.0,10441.0,52.6,NCT OF DELHI,NORTH-EAST DELHI
110091,110091,28.603720000000003,77.29310000000001,26.0,10441.0,52.6,NCT OF DELHI,EAST DELHI
110092,110092,28.632355,77.28793,74.0,10441.0,52.6,NCT OF DELHI,EAST DELHI
