postal_district,state,hces_district,match_method,score
Faizabad,UTTAR PRADESH,FAIZABAD,exact,1.0
Barabanki,UTTAR PRADESH,BARA BANKI,fuzzy,0.947
Ambedkar Nagar,UTTAR PRADESH,AMBEDKAR NAGAR,exact,1.0
Lucknow,UTTAR PRADESH,LUCKNOW,exact,1.0
Raebareli,UTTAR PRADESH,RAE BARELI,fuzzy,0.947
Pratapgarh,UTTAR PRADESH,PRATAPGARH,exact,1.0
Mirzapur,UTTAR PRADESH,MIRZAPUR,exact,1.0
Sonbhadra,UTTAR PRADESH,SONBHADRA,exact,1.0
Ghazipur,UTTAR PRADESH,GHAZIPUR,exact,1.0
Hardoi,UTTAR PRADESH,HARDOI,exact,1.0
Shahjahanpur,UTTAR PRADESH,SHAHJAHANPUR,exact,1.0
Budaun,UTTAR PRADESH,BUDAUN,exact,1.0
Bareilly,UTTAR PRADESH,BAREILLY,exact,1.0
Moradabad,UTTAR PRADESH,MORADABAD,exact,1.0
Jyotiba Phule Nagar,UTTAR PRADESH,JYOTIBA PHULE NAGAR,exact,1.0
Rampur,UTTAR PRADESH,RAMPUR,exact,1.0
Udham Singh Nagar,UTTARAKHAND,,no_hces_state,0.0
Nainital,UTTARAKHAND,,no_hces_state,0.0
Meerut,UTTAR PRADESH,MEERUT,exact,1.0
Pauri Garhwal,UTTARAKHAND,,no_hces_state,0.0
Rudraprayag,UTTARAKHAND,,no_hces_state,0.0
Chamoli,UTTARAKHAND,,no_hces_state,0.0
Bijnor,UTTAR PRADESH,BIJNOR,exact,1.0
Saharanpur,UTTAR PRADESH,SAHARANPUR,exact,1.0
Haridwar,UTTARAKHAND,,no_hces_state,0.0
Muzaffarnagar,UTTAR PRADESH,MUZAFFARNAGAR,exact,1.0
Dehradun,UTTARAKHAND,,no_hces_state,0.0
Tehri Garhwal,UTTARAKHAND,,no_hces_state,0.0
Uttarkashi,UTTARAKHAND,,no_hces_state,0.0
Bagpat,UTTAR PRADESH,BAGHPAT,fuzzy,0.923
Sitapur,UTTAR PRADESH,SITAPUR,exact,1.0
Kheri,UTTAR PRADESH,KHERI,exact,1.0
Pilibhit,UTTAR PRADESH,PILIBHIT,exact,1.0
Champawat,UTTARAKHAND,,no_hces_state,0.0
Pithoragarh,UTTARAKHAND,,no_hces_state,0.0
Almora,UTTARAKHAND,,no_hces_state,0.0
Bageshwar,UTTARAKHAND,,no_hces_state,0.0
Gonda,UTTAR PRADESH,GONDA,exact,1.0
Balrampur,UTTAR PRADESH,BALRAMPUR,exact,1.0
Bahraich,UTTAR PRADESH,BAHRAICH,exact,1.0
Shrawasti,UTTAR PRADESH,SHRAWASTI,exact,1.0
Basti,UTTAR PRADESH,BASTI,exact,1.0
Siddharthnagar,UTTAR PRADESH,SIDDHARTHNAGAR,exact,1.0
Sant Kabir Nagar,UTTAR PRADESH,SANT KABIR NAGAR,exact,1.0
Gorakhpur,UTTAR PRADESH,GORAKHPUR,exact,1.0
Maharajganj,UTTAR PRADESH,MAHRAJGANJ,fuzzy,0.952
Deoria,UTTAR PRADESH,DEORIA,exact,1.0
Kushinagar,UTTAR PRADESH,KUSHINAGAR,exact,1.0
Mathura,UTTAR PRADESH,MATHURA,exact,1.0
Agra,UTTAR PRADESH,AGRA,exact,1.0
Firozabad,UTTAR PRADESH,FIROZABAD,exact,1.0
Jhansi,UTTAR PRADESH,JHANSI,exact,1.0
Lalitpur,UTTAR PRADESH,LALITPUR,exact,1.0
Jalaun,UTTAR PRADESH,JALAUN,exact,1.0
Alwar,RAJASTHAN,ALWAR,exact,1.0
Jaipur,RAJASTHAN,JAIPUR,exact,1.0
Dausa,RAJASTHAN,DAUSA,exact,1.0
Tonk,RAJASTHAN,TONK,exact,1.0
Ajmer,RAJASTHAN,AJMER,exact,1.0
Nagaur,RAJASTHAN,NAGAUR,exact,1.0
Rajsamand,RAJASTHAN,RAJSAMAND,exact,1.0
Pali,RAJASTHAN,PALI,exact,1.0
Sirohi,RAJASTHAN,SIROHI,exact,1.0
