postal_district,state,hces_district,match_method,score
Jagatsinghapur,ODISHA,JAGATSINGHAPUR,exact,1.0
Kendrapara,ODISHA,KENDRAPARA,exact,1.0
Baleswar,ODISHA,BALESHWAR,fuzzy,0.941
Bhadrak,ODISHA,BHADRAK,exact,1.0
Mayurbhanj,ODISHA,MAYURBHANJ,exact,1.0
Kendujhar,ODISHA,KENDUJHAR,exact,1.0
Dhenkanal,ODISHA,DHENKANAL,exact,1.0
Angul,ODISHA,ANUGUL,fuzzy,0.909
Ganjam,ODISHA,GANJAM,exact,1.0
Gajapati,ODISHA,GAJAPATI,exact,1.0
Kandhamal,ODISHA,KANDHAMAL,exact,1.0
Boudh,ODISHA,BAUDH,verified_manual,0.8
Koraput,ODISHA,KORAPUT,exact,1.0
Malkangiri,ODISHA,MALKANGIRI,exact,1.0
Nabarangapur,ODISHA,NABARANGAPUR,exact,1.0
Rayagada,ODISHA,RAYAGADA,exact,1.0
Kalahandi,ODISHA,KALAHANDI,exact,1.0
Nuapada,ODISHA,NUAPADA,exact,1.0
Balangir,ODISHA,BALANGIR,exact,1.0
Sonapur,ODISHA,,unmatched,0.0
Sambalpur,ODISHA,SAMBALPUR,exact,1.0
Bargarh,ODISHA,BARGARH,exact,1.0
Debagarh,ODISHA,DEBAGARH,exact,1.0
Jharsuguda,ODISHA,JHARSUGUDA,exact,1.0
Sundergarh,ODISHA,SUNDARGARH,fuzzy,0.9
Kamrup,ASSAM,KAMRUP,exact,1.0
Nalbari,ASSAM,NALBARI,exact,1.0
Barpeta,ASSAM,BARPETA,exact,1.0
Nagaon,ASSAM,NAGAON,exact,1.0
Marigaon,ASSAM,MORIGAON,fuzzy,0.875
Karbi Anglong,ASSAM,KARBI ANGLONG,exact,1.0
Goalpara,ASSAM,GOALPARA,exact,1.0
Dhubri,ASSAM,DHUBRI,exact,1.0
Kokrajhar,ASSAM,KOKRAJHAR,exact,1.0
Bongaigaon,ASSAM,BONGAIGAON,exact,1.0
Sonitpur,ASSAM,SONITPUR,exact,1.0
Darrang,ASSAM,DARRANG,exact,1.0
Lakhimpur,ASSAM,LAKHIMPUR,exact,1.0
Jorhat,ASSAM,JORHAT,exact,1.0
Golaghat,ASSAM,GOLAGHAT,exact,1.0
Sibsagar,ASSAM,SIVASAGAR,fuzzy,0.824
Dibrugarh,ASSAM,DIBRUGARH,exact,1.0
Tinsukia,ASSAM,TINSUKIA,exact,1.0
Dhemaji,ASSAM,DHEMAJI,exact,1.0
Cachar,ASSAM,CACHAR,exact,1.0
Hailakandi,ASSAM,HAILAKANDI,exact,1.0
Karimganj,ASSAM,KARIMGANJ,exact,1.0
North Cachar Hills,ASSAM,,unmatched,0.0
West Kameng,ARUNACHAL PRADESH,WEST KAMENG,exact,1.0
East Kameng,ARUNACHAL PRADESH,EAST KAMENG,exact,1.0
Tawang,ARUNACHAL PRADESH,TAWANG,exact,1.0
West Siang,ARUNACHAL PRADESH,WEST SIANG,exact,1.0
Upper Siang,ARUNACHAL PRADESH,UPPER SIANG,exact,1.0
East Siang,ARUNACHAL PRADESH,EAST SIANG,exact,1.0
Papum Pare,ARUNACHAL PRADESH,PAPUM PARE,exact,1.0
Kurung Kumey,ARUNACHAL PRADESH,KURUNG KUMEY,exact,1.0
Lower Subansiri,ARUNACHAL PRADESH,LOWER SUBANSIRI,exact,1.0
Upper Subansiri,ARUNACHAL PRADESH,UPPER SUBANSIRI,exact,1.0
Lohit,ARUNACHAL PRADESH,LOHIT,exact,1.0
Changlang,ARUNACHAL PRADESH,CHANGLANG,exact,1.0
Dibang Valley,ARUNACHAL PRADESH,,unmatched,0.0
Lower Dibang Valley,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,exact,1.0
Tirap,ARUNACHAL PRADESH,TIRAP,exact,1.0
East Khasi Hills,MEGHALAYA,EAST KHASI HILLS,exact,1.0
Ri Bhoi,MEGHALAYA,RIBHOI,fuzzy,0.923
Jaintia Hills,MEGHALAYA,JAINTIA HILLS,exact,1.0
West Khasi Hills,MEGHALAYA,WEST KHASI HILLS,exact,1.0
West Garo Hills,MEGHALAYA,WEST GARO HILLS,exact,1.0
South Garo Hills,MEGHALAYA,SOUTH GARO HILLS,exact,1.0
East Garo Hills,MEGHALAYA,EAST GARO HILLS,exact,1.0
Imphal West,MANIPUR,IMPHAL WEST,exact,1.0
Imphal East,MANIPUR,IMPHAL EAST,exact,1.0
Churachandpur,MANIPUR,CHURACHANDPUR,exact,1.0
Senapati,MANIPUR,SENAPATI,exact,1.0
Thoubal,MANIPUR,THOUBAL,exact,1.0
Chandel,MANIPUR,CHANDEL,exact,1.0
Bishnupur,MANIPUR,BISHNUPUR,exact,1.0
Tamenglong,MANIPUR,,unmatched,0.0
Ukhrul,MANIPUR,UKHRUL,exact,1.0
Aizawl,MIZORAM,AIZAWL,exact,1.0
Kolasib,MIZORAM,KOLASIB,exact,1.0
Serchhip,MIZORAM,SERCHHIP,exact,1.0
Champhai,MIZORAM,CHAMPHAI,exact,1.0
Mammit,MIZORAM,MAMIT,fuzzy,0.909
Lunglei,MIZORAM,LUNGLEI,exact,1.0
Lawngtlai,MIZORAM,LAWNGTLAI,exact,1.0
Saiha,MIZORAM,SAIHA,exact,1.0
Kohima,NAGALAND,KOHIMA,exact,1.0
Wokha,NAGALAND,WOKHA,exact,1.0
Peren,NAGALAND,PEREN,exact,1.0
Phek,NAGALAND,PHEK,exact,1.0
Dimapur,NAGALAND,DIMAPUR,exact,1.0
Mokokchung,NAGALAND,MOKOKCHUNG,exact,1.0
Mon,NAGALAND,MON,exact,1.0
Kiphire,NAGALAND,KIPHIRE,exact,1.0
Tuensang,NAGALAND,TUENSANG,exact,1.0
Zunhebotto,NAGALAND,ZUNHEBOTO,fuzzy,0.947
Longleng,NAGALAND,LONGLENG,exact,1.0
West Tripura,TRIPURA,WEST TRIPURA,exact,1.0
South Tripura,TRIPURA,SOUTH TRIPURA,exact,1.0
Dhalai,TRIPURA,DHALAI,exact,1.0
North Tripura,TRIPURA,NORTH TRIPURA,exact,1.0
Patna,BIHAR,PATNA,exact,1.0
Nalanda,BIHAR,NALANDA,exact,1.0
Buxar,BIHAR,BUXAR,exact,1.0
Kaimur (Bhabua),BIHAR,KAIMUR (BHABUA),exact,1.0
Bhojpur,BIHAR,BHOJPUR,exact,1.0
Rohtas,BIHAR,ROHTAS,exact,1.0
Nawada,BIHAR,NAWADA,exact,1.0
Arwal,BIHAR,ARWAL,exact,1.0
Gaya,BIHAR,GAYA,exact,1.0
Jehanabad,BIHAR,JEHANABAD,exact,1.0
Sheikhpura,BIHAR,SHEIKHPURA,exact,1.0
Lakhisarai,BIHAR,LAKHISARAI,exact,1.0
Munger,BIHAR,MUNGER,exact,1.0
Jamui,BIHAR,JAMUI,exact,1.0
Bhagalpur,BIHAR,BHAGALPUR,exact,1.0
Banka,BIHAR,BANKA,exact,1.0
Godda,JHARKHAND,GODDA,exact,1.0
Dumka,JHARKHAND,DUMKA,exact,1.0
Pakur,JHARKHAND,PAKUR,exact,1.0
Deoghar,JHARKHAND,DEOGHAR,exact,1.0
Jamtara,JHARKHAND,JAMTARA,exact,1.0
Giridh,JHARKHAND,GIRIDIH,fuzzy,0.923
Sahibganj,JHARKHAND,SAHIBGANJ,exact,1.0
Palamau,JHARKHAND,PALAMU,fuzzy,0.923
Latehar,JHARKHAND,LATEHAR,exact,1.0
Garhwa,JHARKHAND,GARHWA,exact,1.0
Aurangabad(BH),BIHAR,AURANGABAD,fuzzy,0.87
Ramgarh,JHARKHAND,RAMGARH,exact,1.0
Bokaro,JHARKHAND,BOKARO,exact,1.0
Chatra,JHARKHAND,CHATRA,exact,1.0
Koderma,JHARKHAND,KODARMA,fuzzy,0.857
Hazaribag,JHARKHAND,HAZARIBAGH,fuzzy,0.947
Dhanbad,JHARKHAND,DHANBAD,exact,1.0
Ranchi,JHARKHAND,RANCHI,exact,1.0
East Singhbhum,JHARKHAND,PURBI SINGHBHUM,verified_manual,1.0
West Singhbhum,JHARKHAND,,unmatched,0.0
Seraikela-kharsawan,JHARKHAND,SARAIKELA-KHARSAWAN,fuzzy,0.947
Simdega,JHARKHAND,SIMDEGA,exact,1.0
Gumla,JHARKHAND,GUMLA,exact,1.0
Lohardaga,JHARKHAND,LOHARDAGA,exact,1.0
Saran,BIHAR,SARAN,exact,1.0
Siwan,BIHAR,SIWAN,exact,1.0
Gopalganj,BIHAR,GOPALGANJ,exact,1.0
Muzaffarpur,BIHAR,MUZAFFARPUR,exact,1.0
Vaishali,BIHAR,VAISHALI,exact,1.0
Sitamarhi,BIHAR,SITAMARHI,exact,1.0
Sheohar,BIHAR,SHEOHAR,exact,1.0
West Champaran,BIHAR,,unmatched,0.0
East Champaran,BIHAR,PURBA CHAMPARAN,verified_manual,0.759
Darbhanga,BIHAR,DARBHANGA,exact,1.0
Madhubani,BIHAR,MADHUBANI,exact,1.0
Supaul,BIHAR,SUPAUL,exact,1.0
Samastipur,BIHAR,SAMASTIPUR,exact,1.0
Begusarai,BIHAR,BEGUSARAI,exact,1.0
Khagaria,BIHAR,KHAGARIA,exact,1.0
Madhepura,BIHAR,MADHEPURA,exact,1.0
Saharsa,BIHAR,SAHARSA,exact,1.0
Katihar,BIHAR,KATIHAR,exact,1.0
Purnia,BIHAR,PURNIA,exact,1.0
Araria,BIHAR,ARARIA,exact,1.0
Kishanganj,BIHAR,KISHANGANJ,exact,1.0
