pincode,district,state_name,state_code
756132,Bhadrak,Odisha,OD
756133,Bhadrak,Odisha,OD
756134,Baleswar,Odisha,OD
756135,Bhadrak,Odisha,OD
756137,Bhadrak,Odisha,OD
756138,Bhadrak,Odisha,OD
756139,Bhadrak,Odisha,OD
756144,Bhadrak,Odisha,OD
756162,Bhadrak,Odisha,OD
756163,Bhadrak,Odisha,OD
756164,Bhadrak,Odisha,OD
756165,Bhadrak,Odisha,OD
756166,Baleswar,Odisha,OD
756167,Bhadrak,Odisha,OD
756168,Bhadrak,Odisha,OD
756171,Bhadrak,Odisha,OD
756181,Bhadrak,Odisha,OD
756182,Baleswar,Odisha,OD
757001,Mayurbhanj,Odisha,OD
757002,Mayurbhanj,Odisha,OD
757003,Mayurbhanj,Odisha,OD
757014,Mayurbhanj,Odisha,OD
757016,Mayurbhanj,Odisha,OD
757017,Mayurbhanj,Odisha,OD
757018,Mayurbhanj,Odisha,OD
757019,Mayurbhanj,Odisha,OD
757020,Mayurbhanj,Odisha,OD
757021,Mayurbhanj,Odisha,OD
757022,Mayurbhanj,Odisha,OD
757023,Mayurbhanj,Odisha,OD
757024,Mayurbhanj,Odisha,OD
757025,Mayurbhanj,Odisha,OD
757026,Mayurbhanj,Odisha,OD
757027,Mayurbhanj,Odisha,OD
757028,Mayurbhanj,Odisha,OD
757029,Mayurbhanj,Odisha,OD
757030,Mayurbhanj,Odisha,OD
757031,Mayurbhanj,Odisha,OD
757032,Mayurbhanj,Odisha,OD
757033,Mayurbhanj,Odisha,OD
757034,Mayurbhanj,Odisha,OD
757035,Mayurbhanj,Odisha,OD
757036,Mayurbhanj,Odisha,OD
757037,Mayurbhanj,Odisha,OD
757038,Mayurbhanj,Odisha,OD
757039,Mayurbhanj,Odisha,OD
757040,Mayurbhanj,Odisha,OD
757041,Mayurbhanj,Odisha,OD
757042,Mayurbhanj,Odisha,OD
757043,Mayurbhanj,Odisha,OD
757045,Mayurbhanj,Odisha,OD
757046,Mayurbhanj,Odisha,OD
757047,Mayurbhanj,Odisha,OD
757048,Mayurbhanj,Odisha,OD
757049,Mayurbhanj,Odisha,OD
757050,Mayurbhanj,Odisha,OD
757051,Mayurbhanj,Odisha,OD
757052,Mayurbhanj,Odisha,OD
757053,Mayurbhanj,Odisha,OD
757054,Mayurbhanj,Odisha,OD
757055,Mayurbhanj,Odisha,OD
757073,Mayurbhanj,Odisha,OD
757074,Mayurbhanj,Odisha,OD
757075,Mayurbhanj,Odisha,OD
757077,Mayurbhanj,Odisha,OD
757079,Mayurbhanj,Odisha,OD
757081,Mayurbhanj,Odisha,OD
757082,Mayurbhanj,Odisha,OD
