Sr.No.|Region|State|District|Sub District|Center|Bank Group|Bank Name|Banking Channel Name|Part 1 Code|Part 2 Code|Population Group|AD Category|License Number|License Date|Address|Banking Channel Type|Sub Type|MICR Code|IFSC Code|Date of opening
3311|WESTERN REGION|MAHARASHTRA|PALGHAR|DAHANU|DAHANU (M CL)|PUBLIC SECTOR BANKS|BANK OF INDIA|DAHANU ROAD(WEST)|0223377|3820095|SEMI URBAN||||"DAHANU ROAD (WEST) SHOP NOS 51TO 55 ,FIRST FLOOR VAIBHAV COMMERC DAHANU,-1,PALGHAR,MAHARASHTRA,401602"|BRANCH||400013145|BKID0000145|2010-03-29 00:00:00
3312|WESTERN REGION|MAHARASHTRA|WARDHA|WARDHA|UMARI|PUBLIC SECTOR BANKS|BANK OF INDIA|HINDI VISHWA VIDYALAYA|0223385|6420571|RURAL||DBOD.NO. BL 16194/22.03.012/09-10|2010-03-22 00:00:00|"ARVI ROAD M.G.ANTARRASHTRIYA HINDI VISHWAVIDYALAYA PANC UMRI,-1,WARDHA,MAHARASHTRA,442005"|BRANCH||442013003|BKID0009721|2010-03-29 00:00:00
3313|WESTERN REGION|MAHARASHTRA|BID|BID|ANANDWADI|PUBLIC SECTOR BANKS|BANK OF INDIA|ANANDWADI BRANCH|0223394|6280951|RURAL||||"JALNA ROAD NEAR ST ANNE SCHOOL ANANDWADI,-1,BID,MAHARASHTRA,431122"|BRANCH||431013302|BKID0000761|2010-03-30 00:00:00
3314|WESTERN REGION|MAHARASHTRA|RAIGAD|SHRIVARDHAN|DIVEAGAR|PUBLIC SECTOR BANKS|BANK OF INDIA|DIVEAGAR|0223404|6031101|RURAL||||"SWAMI VIVEKANAND RD 136, GROUND FLOOR DIVEAGAR,-1,RAIGAD,MAHARASHTRA,402404"|BRANCH||402013526|BKID0001245|2010-05-07 00:00:00
3315|WESTERN REGION|MAHARASHTRA|LATUR|LATUR|KASARGAON|PUBLIC SECTOR BANKS|BANK OF INDIA|KASARGAON|0223425|6621071|RURAL||||"LATUR-AMBEJOGAI ROAD MIMSR CAMPUS KASARGAON,-1,LATUR,MAHARASHTRA,413531"|BRANCH||413013054|BKID0000644|2010-07-14 00:00:00
3316|WESTERN REGION|MAHARASHTRA|RAIGAD|SUDHAGAD|PALI (CT)|PUBLIC SECTOR BANKS|BANK OF INDIA|PALI (SUDHAGAD)|0223429|6030172|RURAL||||"MAHAVIR PATH, BAZAR PETH 409 PARMAR BLDG PALI,-1,RAIGAD,MAHARASHTRA,410205"|BRANCH||410013511|BKID0001246|2010-07-16 00:00:00
3317|WESTERN REGION|MAHARASHTRA|RAIGAD|MANGAON|MANGAON|PUBLIC SECTOR BANKS|BANK OF INDIA|MANGAON (RAIGAD)|0223471|6030131|RURAL||||"MUMBAI GOA HIGHWAY 1209,ANANT BUILDING MANGAON,-1,RAIGAD,MAHARASHTRA,402104"|BRANCH||402013527|BKID0001247|2010-09-07 00:00:00
3318|WESTERN REGION|MAHARASHTRA|SOLAPUR|SOLAPUR SOUTH|PHATATEWADI|PUBLIC SECTOR BANKS|BANK OF INDIA|PHATATEWADI|0223488|6102301|RURAL||||". GRAM PANCHAYAT HOUSE NO. 47/1 PHATATE WADI,-1,SOLAPUR,MAHARASHTRA,413215"|BRANCH||413013542|BKID0000759|2010-09-07 00:00:00
3319|WESTERN REGION|MAHARASHTRA|WARDHA|ARVI|ARVI (M CL)|PUBLIC SECTOR BANKS|BANK OF INDIA|ARVI BRANCH|0223500|6420034|SEMI URBAN||||"JAJOO WADI, BEHIND  CIVIL COURT PLOT NO.1028, WARD NO.5 JAJOO WADI,-1,WARDHA,MAHARASHTRA,442201"|BRANCH||442013555|BKID0009723|2010-09-07 00:00:00
3320|WESTERN REGION|MAHARASHTRA|WARDHA|DEOLI|DEOLI (M CL)|PUBLIC SECTOR BANKS|BANK OF INDIA|DEOLI|0223501|6420093|SEMI URBAN||||"DEOLI WARD NO.8 DEOLI,-1,WARDHA,MAHARASHTRA,442101"|BRANCH||442013556|BKID0009722|2010-09-07 00:00:00
3321|WESTERN REGION|MAHARASHTRA|NAGPUR|HINGNA|HINGNA|PUBLIC SECTOR BANKS|BANK OF INDIA|HINGNA BRANCH|0223502|6400412|RURAL||||"MAIN  ROAD HOUSE NO.1179-1180 HINGNA,-1,NAGPUR,MAHARASHTRA,441110"|BRANCH||440013038|BKID0008766|2010-09-07 00:00:00
3322|WESTERN REGION|MAHARASHTRA|NAGPUR|UMRED|UMRED (M CL)|PUBLIC SECTOR BANKS|BANK OF INDIA|UMRED BRANCH|0223503|6400865|SEMI URBAN||||". 43/2,46/2, CHANDRAPUR HIGHWAY BYPASS C UMRED,-1,NAGPUR,MAHARASHTRA,441203"|BRANCH||441013521|BKID0008761|2010-09-07 00:00:00
3323|WESTERN REGION|MAHARASHTRA|KOLHAPUR|PANHALA|KOTOLI|PUBLIC SECTOR BANKS|BANK OF INDIA|KOTOLI BRANCH|0223509|6080562|RURAL||NOT_AVAILABLE(CHECKED)|2020-04-09 18:27:14|"SALOKHES  BUILDING GAT NO 827,MAIN ROAD,-1,KOLHAPUR,MAHARASHTRA,416229"|BRANCH||416013576|BKID0000948|2010-09-07 11:00:00
3324|WESTERN REGION|MAHARASHTRA|CHHATRAPATI SAMBHAJINAGAR|SILLOD|SILLOD (M CL)|PUBLIC SECTOR BANKS|BANK OF INDIA|SILLOD|0223511|6240335|SEMI URBAN||||"JALGAON AURANGABAD ROAD VADANT, MAIN ROAR SILLOD,-1,CHHATRAPATI SAMBHAJINAGAR,MAHARASHTRA,431112"|BRANCH||431013501|BKID0000683|2010-09-07 00:00:00
