Sr.No.|Region|State|District|Sub District|Center|Bank Group|Bank Name|Banking Channel Name|Part 1 Code|Part 2 Code|Population Group|AD Category|License Number|License Date|Address|Banking Channel Type|Sub Type|MICR Code|IFSC Code|Date of opening
1|WESTERN REGION|MAHARASHTRA|KOLHAPUR|HATKANANGLE|HATKANANGALE|PUBLIC SECTOR BANKS|STATE BANK OF INDIA|HATKALANGDA|0000270|6080153|SEMI URBAN|C|BRNWM/DUP LIC/2020-21/0306|2020-05-22 00:00:00|"POST BAG NO.1 HATKANANGALE,-1,KOLHAPUR,MAHARASHTRA,416109"|BRANCH||416002753|SBIN0000270|1966-07-04 00:00:00
2|WESTERN REGION|MAHARASHTRA|SOLAPUR|SANGOLE|SANGOLE (M CL)|PUBLIC SECTOR BANKS|STATE BANK OF INDIA|AGRICULTURE COMMERCIAL BRANCH SANGOLA|0000271|6100234|SEMI URBAN|C|BL C.50/66|1966-04-21 00:00:00|"STATION ROAD SANGOLA,-1,SOLAPUR,MAHARASHTRA,413307"|BRANCH||413002924|SBIN0000271|1966-06-29 00:00:00
3|WESTERN REGION|MAHARASHTRA|JALGAON|YAWAL|YAWAL (M CL)|PUBLIC SECTOR BANKS|STATE BANK OF INDIA|YAVAL|0000272|6560174|SEMI URBAN|C|B L C 44/99|1966-04-01 00:00:00|"SATOD ROAD YAVAL,-1,JALGAON,MAHARASHTRA,425301"|BRANCH||425002876|SBIN0000272|1966-06-27 00:00:00
4|WESTERN REGION|MAHARASHTRA|SATARA|MAHABALESHWAR|MAHABALESHWAR (M CL)|PUBLIC SECTOR BANKS|STATE BANK OF INDIA|MAHABALESHWAR|0000274|6150143|SEMI URBAN|C|DBOD(C).No BL.827/BL.3-66|1966-04-01 00:00:00|"MASJID ROAD MAHABALESHWAR,-1,SATARA,MAHARASHTRA,412806"|BRANCH||412002889|SBIN0000274|1966-05-25 00:00:00
5|WESTERN REGION|MAHARASHTRA|SINDHUDURG|DEVGAD|DEVGAD JAMSANDE (NP)|PUBLIC SECTOR BANKS|STATE BANK OF INDIA|DEVGAD|0000275|6070003|SEMI URBAN|C|BLC.181/65|1965-10-20 00:00:00|"NAGESHWAR NAGAR DEVGAD,-1,SINDHUDURG,MAHARASHTRA,416613"|BRANCH||416002848|SBIN0000275|1966-04-28 00:00:00
6|WESTERN REGION|MAHARASHTRA|RAIGAD|MANGAON|MANGAON|PUBLIC SECTOR BANKS|STATE BANK OF INDIA|MANGAON|0000276|6030131|RURAL|C|BLC/93/65|1965-08-03 00:00:00|"MANGAON MANGAON,-1,RAIGAD,MAHARASHTRA,402104"|BRANCH||402002893|SBIN0000276|1966-04-18 00:00:00
7|WESTERN REGION|MAHARASHTRA|AMRAVATI|MORSHI|MORSHI (M CL)|PUBLIC SECTOR BANKS|STATE BANK OF INDIA|MORSHI|0000278|6440064|SEMI URBAN|C|B L C 6/65|1966-04-07 00:00:00|"WARUD ROAD MORSHI,-1,AMRAVATI,MAHARASHTRA,444905"|BRANCH||444002884|SBIN0000278|1966-04-07 00:00:00
8|WESTERN REGION|MAHARASHTRA|PUNE|SHIRUR|SHIRUR (M CL)|PUBLIC SECTOR BANKS|STATE BANK OF INDIA|AGRICULTURE COMMERCIAL BRANCH GHODNADI-SIRUR|0000279|6200344|SEMI URBAN|C|BL.C.129/65|1965-10-28 00:00:00|"SHIRUR TALUKA SHIRUR(GHODNADI),,-1,PUNE,MAHARASHTRA,412210"|BRANCH||412002861|SBIN0000279|1966-03-26 00:00:00
9|WESTERN REGION|MAHARASHTRA|SINDHUDURG|KANKAVLI|KANKAVLI (NP)|PUBLIC SECTOR BANKS|STATE BANK OF INDIA|KANKAVLI|0000282|6070013|SEMI URBAN|C|NO .BLC 132/65|1965-10-20 00:00:00|"GURUPRASAD BKG ROAD KANKAVLI,-1,SINDHUDURG,MAHARASHTRA,416602"|BRANCH||416002961|SBIN0000282|1965-12-30 00:00:00
10|WESTERN REGION|MAHARASHTRA|SOLAPUR|MADHA|MADHA|PUBLIC SECTOR BANKS|STATE BANK OF INDIA|MADHA|0000283|6100143|SEMI URBAN|C|DBOD.NO.BL.7869/22.03.001/2008-09|1965-12-29 00:00:00|"OPPOSITE POLICE STATION POST BAG NO.3,MADHA,-1,SOLAPUR,MAHARASHTRA,413209"|BRANCH||413002798|SBIN0000283|1965-12-29 00:00:00
