Sr.No.|Region|State|District|Sub District|Center|Bank Group|Bank Name|Banking Channel Name|Part 1 Code|Part 2 Code|Population Group|AD Category|License Number|License Date|Address|Banking Channel Type|Sub Type|MICR Code|IFSC Code|Date of opening
5125|WESTERN REGION|MAHARASHTRA|THANE|KALYAN|KALYAN-DOMBIVLI (M CORP.)|PUBLIC SECTOR BANKS|CANARA BANK|KALYAN KHADAKPADA|0243149|6010029|METROPOLITAN|B|DBOD.No.BL.7473/02.03.014/2009-10 (1)|2009-10-28 00:00:00|"KHADAKPADA, KALYAN (WEST) D-01, I FLOOR, ANGEL CHS LTD, GODREJ HILLS, BARAVE VILLAGE KHADAKPADA,-1,THANE,MAHARASHTRA,421301"|BRANCH||400015143|CNRB0005080|2009-11-19 00:00:00
5126|WESTERN REGION|MAHARASHTRA|LATUR|LATUR|LATUR (M CL)|PUBLIC SECTOR BANKS|CANARA BANK|LATUR - CHANDRANAGAR|0243164|6620007|URBAN|B|DBOD.No.BL.10612/22.03.014/2009-10 (2)|2009-12-14 00:00:00|"CHANDRANAGAR RAJARSHI SHAHU MAHAVIDYALAYA CAMPUS NEAR BUS STAND,-1,LATUR,MAHARASHTRA,413512"|BRANCH||413015053|CNRB0008576|2009-12-23 00:00:00
5127|WESTERN REGION|MAHARASHTRA|DHULE|DHULE|DHULE (M CORP.)|PUBLIC SECTOR BANKS|CANARA BANK|DHULE-SAKRI ROAD|0243165|6540007|URBAN|B|DBOD.No.BL.10612/22.03.014/2009-10 (1)|2009-12-14 00:00:00|"SAKRI ROAD VIDYA WARDHINI SABHA'S ARTS, COMM. & SC. DHULE,-1,DHULE,MAHARASHTRA,424001"|BRANCH||424015002|CNRB0008577|2009-12-23 00:00:00
5128|WESTERN REGION|MAHARASHTRA|BHANDARA|MOHADI|WARTHI (CT)|PUBLIC SECTOR BANKS|CANARA BANK|WARTHI|0243166|6380163|SEMI URBAN|B|DBOD.No.BL.10612/22.03.014/2009-10 (3)|2009-12-14 00:00:00|"WARTHI SUNFLAG IRON & STEEL CO. LTD. CAMPUS WARTHI,-1,BHANDARA,MAHARASHTRA,441905"|BRANCH||441015103|CNRB0008603|2009-12-23 00:00:00
5129|WESTERN REGION|MAHARASHTRA|THANE|THANE|NAVI MUMBAI (M CORP.)|PUBLIC SECTOR BANKS|CANARA BANK|NAVI MUMBAI VASHI SECTOR-12|0243200|6010489|METROPOLITAN|B|DBOD NO BL 21064/22.03.014/2008-09 (37)|2009-06-08 00:00:00|"NEXT TO NEEL SIDDHI TOWERS PLOT NO 195 B GROUND FLOOR, SHOWROOM NO 1 THE EMERALD,-1,THANE,MAHARASHTRA,400703"|BRANCH||400015145|CNRB0003302|2010-01-22 00:00:00
5130|WESTERN REGION|MAHARASHTRA|THANE|THANE|MIRA-BHAYANDAR (M CORP.)|PUBLIC SECTOR BANKS|CANARA BANK|BHAYANDER EAST|0243205|6010178|URBAN|B|DBOD NO BL 21064/22.03.014/2008-09 (38)|2009-06-08 00:00:00|"NEAR NEW GOLDEN NEST SHREE GANPATH TOWER, BWING BHAYANDER EAST,-1,THANE,MAHARASHTRA,401105"|BRANCH||400015146|CNRB0003305|2010-02-15 00:00:00
5131|WESTERN REGION|MAHARASHTRA|NAGPUR|NAGPUR (URBAN)|NAGPUR (M CORP.)|PUBLIC SECTOR BANKS|CANARA BANK|NAGPUR -WARDHAMAN NAGAR|0243207|6400009|METROPOLITAN|B|DBOD NO BL 21064/22.03.014/2008-09 (145)|2009-06-08 00:00:00|"BHANDARA ROAD PLOT NO. 928-929, DESHPANDE LAYOUT WARDHAMAN NAGAR, NAGPUR,-1,NAGPUR,MAHARASHTRA,440008"|BRANCH||440015012|CNRB0003126|2010-02-15 00:00:00
5132|WESTERN REGION|MAHARASHTRA|GONDIA|GONDIYA|GONDIYA (M CL)|PUBLIC SECTOR BANKS|CANARA BANK|GONDIA MAIN|0243225|6390136|URBAN|B|DBOD NO BL 21064/22.03.014/2008-09 (41)|2009-06-08 00:00:00|"GONDIA P A RICE MILLS HOUSE, OLD BUS STAND ROAD,,-1,GONDIA,MAHARASHTRA,441601"|BRANCH||441015002|CNRB0003312|2010-03-12 00:00:00
5133|WESTERN REGION|MAHARASHTRA|NAGPUR|NAGPUR (URBAN)|NAGPUR (M CORP.)|PUBLIC SECTOR BANKS|CANARA BANK|NAGPUR V N I T|0243231|6400009|METROPOLITAN|B|DBOD NO BL 21064/22.03.014/2008-09 (147)|2009-06-08 00:00:00|"SOUTH AMBAZARI ROAD VNIT CAMPUS OLD PREMISES BLDG. AMBAZARI, NAGPUR,-1,NAGPUR,MAHARASHTRA,440010"|BRANCH||440015013|CNRB0003124|2010-03-22 00:00:00
5134|WESTERN REGION|MAHARASHTRA|PUNE|KHED|CHAKAN (CT)|PUBLIC SECTOR BANKS|CANARA BANK|CHAKAN|0243238|6200314|SEMI URBAN|B|DBOD NO BL 21064/22.03.014/2008-09 (151)|2009-06-08 00:00:00|"PUNE NASIK HIGH WAY BLGD NO.1698/1, NEAR AMBETHAN CHOWK CHAKAN,-1,PUNE,MAHARASHTRA,410501"|BRANCH||411015035|CNRB0003281|2010-03-29 00:00:00
