timestamp,district,state,pincode,lat,lng,ppi,mpce_combined,mpce_adj_factor,status,note
2026-06-19T02:04:57.479087+00:00,GAUTAM BUDDHA NAGAR,UTTAR PRADESH,,,,,17831.0,,geocode_fail,
2026-06-19T02:05:03.288181+00:00,CHANDIGARH DISTRICT,CHANDIGARH,,,,,17205.0,,geocode_fail,
2026-06-19T02:05:09.211628+00:00,GURGAON,HARYANA,,,,,15397.0,,geocode_fail,
2026-06-19T02:05:14.484583+00:00,EAST DISTRICT,SIKKIM,,,,,14858.0,,geocode_fail,
2026-06-19T02:07:03.339106+00:00,BANGALORE,KARNATAKA,,,,,13169.0,,geocode_fail,
2026-06-19T02:07:42.097810+00:00,DAKSHINA KANNADA,KARNATAKA,,,,,8549.0,,geocode_fail,
2026-07-14T18:35:32.143954+00:00,GAUTAM BUDDHA NAGAR,UTTAR PRADESH,203200,28.36872,77.59701,194,17831.0,1.6739,ok,idw_raw=115.6
2026-07-14T18:35:34.952549+00:00,CHANDIGARH DISTRICT,CHANDIGARH,160018,30.72984,76.78415,78,17205.0,1.0,ok,idw_raw=78.3
2026-07-14T18:35:36.606823+00:00,GURGAON,HARYANA,122001,28.46009,77.03328,129,15397.0,1.3441,ok,idw_raw=96.1
2026-07-14T18:35:38.227505+00:00,EAST DISTRICT,SIKKIM,737101,27.33383,88.61466,119,14858.0,1.0266,ok,idw_raw=115.8
2026-07-14T18:35:41.247991+00:00,NORTH DISTRICT,SIKKIM,737120,27.66667,88.5,123,14690.0,1.0226,ok,idw_raw=120.1
2026-07-14T18:35:44.075715+00:00,FARIDABAD,HARYANA,121001,28.35843,77.32685,152,14158.0,1.3052,ok,idw_raw=116.3
2026-07-14T18:35:49.154779+00:00,BANGALORE,KARNATAKA,560012,13.02223,77.56718,123,13169.0,1.2845,ok,idw_raw=95.5
2026-07-14T18:35:52.090987+00:00,MUMBAI SUBURBAN,MAHARASHTRA,400087,19.13098,72.88946,149,13036.0,1.3499,ok,idw_raw=110.5
2026-07-14T18:35:53.649783+00:00,SOUTH DISTRICT,SIKKIM,737139,27.33333,88.41667,118,12876.0,0.9765,ok,idw_raw=120.6
2026-07-14T18:35:57.061329+00:00,SOUTH,DELHI,110074,28.48517,77.19637,134,12758.0,1.0716,ok,idw_raw=124.7
2026-07-14T18:36:00.469261+00:00,THIRUVANANTHAPURAM,KERALA,695543,8.57697,77.05012,89,12533.0,1.0973,ok,idw_raw=80.9
2026-07-14T18:36:04.240319+00:00,WEST,DELHI,110081,28.73791,77.01006,80,12452.0,1.0626,ok,idw_raw=75.5
2026-07-14T18:36:06.280842+00:00,THE NILGIRIS,TAMIL NADU,643001,11.4,76.7,101,12392.0,1.2162,ok,idw_raw=82.9
2026-07-14T18:36:09.031988+00:00,ERNAKULAM,KERALA,683541,10.03839,76.50741,94,12353.0,1.0918,ok,idw_raw=86.4
2026-07-14T18:36:12.399471+00:00,SOUTH ANDAMAN,ANDAMAN &NICOBAR,744207,10.70569,92.48747,85,11684.0,1.0449,ok,idw_raw=81.4
2026-07-14T18:36:15.527733+00:00,PANCHKULA,HARYANA,D254564,30.68953,76.99479,95,11671.0,1.2198,ok,idw_raw=77.8
2026-07-14T18:36:18.356392+00:00,CHENNAI,TAMIL NADU,D976610,13.00084,80.2023,111,11552.0,1.1867,ok,idw_raw=93.6
2026-07-14T18:36:20.097978+00:00,WEST SIANG,ARUNACHAL PRADESH,791001,28.19709,94.48407,140,11483.0,1.1418,ok,idw_raw=122.3
2026-07-14T18:36:23.136281+00:00,NORTH EAST,DELHI,110094,28.72331,77.26686,77,11382.0,1.0297,ok,idw_raw=74.6
2026-07-14T18:36:24.487071+00:00,KANCHEEPURAM,TAMIL NADU,631501,12.88211,79.80639,119,11263.0,1.1762,ok,idw_raw=100.9
2026-07-14T18:36:28.465873+00:00,ERODE,TAMIL NADU,638506,11.49053,77.35053,104,11228.0,1.1749,ok,idw_raw=88.3
2026-07-14T18:36:35.415110+00:00,COIMBATORE,TAMIL NADU,D792405,10.81244,77.07961,110,10856.0,1.1611,ok,idw_raw=94.5
2026-07-14T18:36:39.327992+00:00,NORTH GOA,GOA,403529,15.60389,73.9967,159,10834.0,1.0122,ok,idw_raw=156.9
2026-07-14T18:36:42.467781+00:00,KAMRUP METROPOLITAN,ASSAM,782423,26.13526,91.86167,165,10690.0,1.3443,ok,idw_raw=122.5
2026-07-14T18:36:45.517792+00:00,PAPUM PARE,ARUNACHAL PRADESH,791119,27.28637,93.61877,155,10492.0,1.1063,ok,idw_raw=139.8
2026-07-14T18:36:48.662209+00:00,NEW DELHI,DELHI,110004,28.6139,77.20901,131,10470.0,1.0,ok,idw_raw=131.0
