pincode,lat,lng
D226277,23.3052514,92.8455124
791122,28.2596054,94.0938106
799001,23.9153329,91.3879341
744202,13.2277144,92.9394925
D653477,31.0568119,76.850301
530028,17.8053222,83.2827677
D648773,21.1923647,72.9551023
127029,28.7328101,75.8928296
601103,13.2537619,80.0562572
609604,10.9156489,79.8069488
D681670,26.4795861,94.5105275
410206,18.9818971,73.1141545
574220,12.8226434,75.2265036
790105,27.6741942,91.9362059
141116,30.789407,75.8269724
388400,22.4739858,72.7361779
387335,22.8532503,72.9953586
570001,12.328986,76.6635208
360001,22.332467352694376,70.7929789507673
400702,18.868041410864485,72.90527343750001
401301,19.31849186131494,72.90527343750001
421201,19.205879248702324,73.11167912593477
201314,28.5311873745372,77.60847599111814
201312,28.377393970826702,77.53601074218751
210310,28.467484060916792,77.53601074218751
201306,28.521494383998657,77.47421264648439
121101,28.403780747296384,77.46354549325689
201001,28.66597993573544,77.49257330894815
201308,28.475205180457223,77.49237637383759
203207,28.570549319816863,77.53746379312402
245408,28.580096673529404,77.75788934714228
201003,28.70553403753221,77.38386115498587
203202,28.403780747296384,77.60847599111814
203205,28.467484060916792,77.63849208002596
110020,28.467484060916792,77.43352940434907
201009,28.69270928614202,77.53601074218751
201008,28.56282838550213,77.64461617553248
121004,28.35487144830418,77.31413213723275
335526,29.520890519025382,74.52026367187501
335525,29.45718720540497,74.44705629018843
335512,29.633503131638,74.29611275870339
122004,28.36082913811331,77.01322236056504
282007,27.198123891553205,77.91503906250001
283105,27.171737115083523,77.84347428034465
282010,27.171737115083523,77.98660384465538
280001,27.108033801463115,78.01624694801241
281302,27.333259026688346,77.91503906250001
122008,28.387215914582992,77.0855712890625
282009,27.044330487842707,77.98660384465538
283122,27.108033801463115,77.81383117698762
283119,27.012605773210016,77.80797124389846
402004,27.203380537607654,78.02228952920916
283125,26.995421188850504,78.13416056229262
283202,27.220646414075727,78.13416056229262
282001,27.10795250959734,78.0665846886099
440021,21.1529647,79.0145059
D212378,29.6063041,74.9036568
D862485,25.4023736,91.8317178
304001,26.1223198,75.6632235
D989489,29.294995,79.4162511
D171306,22.3913377,92.7397189
791120,27.6059753,93.8669707
D905581,22.069288,71.0288686
792110,28.2149563,95.878774
673574,11.4655936,75.89194
625520,9.8692558,77.4222974
174316,31.5834642,76.2351452
583103,15.1481913,76.9349293
249401,29.9123514,78.0087178
577101,13.3245255,75.7722995
D963453,21.8019368,83.9713964
182202,33.13261,75.5890079
D734356,21.5570606,84.1528515
521156,16.2135466,81.0277844
342001,26.410532,72.9646645
797004,25.7169804,94.0982194
D939856,26.9873443,73.7389011
192129,33.8096849,75.2494527
123500,27.991311385811468,76.45308320271185
301401,27.991311385811468,76.59745390666318
301407,27.82978947420665,76.52526855468751
124001,28.881957139774222,76.59118652343751
124021,28.881957139774222,76.69407411442795
124029,28.79186704968413,76.59118652343751
124401,28.88186954087157,76.74524727769312
124022,28.88186954087157,76.43712576918189
124505,28.76934452716161,76.81394469226726
124514,28.972047229864312,76.59118652343751
124107,28.762323624312952,76.66266868624093
