pincode,upi_txn_count_nearby,quarter_label
125052,445821,2026 Q2
125053,471552,2026 Q2
125054,349069,2026 Q2
125055,910148,2026 Q2
125056,1348704,2026 Q2
125058,302699,2026 Q2
125060,771951,2026 Q2
125075,333079,2026 Q2
125076,640684,2026 Q2
125077,188346,2026 Q2
125078,183413,2026 Q2
125101,377151,2026 Q2
125102,425143,2026 Q2
125103,178697,2026 Q2
125104,271956,2026 Q2
125106,173479,2026 Q2
125110,321905,2026 Q2
125111,251834,2026 Q2
125112,341299,2026 Q2
125113,363519,2026 Q2
125120,305388,2026 Q2
125121,577534,2026 Q2
125133,163250,2026 Q2
125201,132694,2026 Q2
126101,599635,2026 Q2
126102,2030149,2026 Q2
126110,251641,2026 Q2
126111,206841,2026 Q2
126112,411049,2026 Q2
126113,313732,2026 Q2
126114,607871,2026 Q2
126115,425532,2026 Q2
126116,282933,2026 Q2
126125,214005,2026 Q2
126152,321856,2026 Q2
127021,2320084,2026 Q2
127022,818096,2026 Q2
127025,509932,2026 Q2
127026,569313,2026 Q2
127027,1057968,2026 Q2
127028,318127,2026 Q2
127029,305435,2026 Q2
127030,416730,2026 Q2
127031,1724520,2026 Q2
127032,919589,2026 Q2
127035,841923,2026 Q2
127040,330231,2026 Q2
127041,409165,2026 Q2
127042,572078,2026 Q2
127043,243252,2026 Q2
127045,331434,2026 Q2
127046,312789,2026 Q2
127111,1111590,2026 Q2
127114,645287,2026 Q2
127201,406773,2026 Q2
127306,1515050,2026 Q2
127307,637206,2026 Q2
127308,495809,2026 Q2
127309,722199,2026 Q2
127310,541008,2026 Q2
127311,1359421,2026 Q2
127312,507724,2026 Q2
131001,3405983,2026 Q2
131021,5418448,2026 Q2
131022,998430,2026 Q2
131023,5583945,2026 Q2
131024,838605,2026 Q2
131027,3210215,2026 Q2
131028,18260468,2026 Q2
131029,8789803,2026 Q2
131030,13933084,2026 Q2
131039,4032158,2026 Q2
131101,3202006,2026 Q2
131102,1275954,2026 Q2
131103,11078986,2026 Q2
131301,1416202,2026 Q2
131302,540214,2026 Q2
131304,555105,2026 Q2
131305,795902,2026 Q2
131306,876611,2026 Q2
131402,3622284,2026 Q2
131403,3386880,2026 Q2
131408,909625,2026 Q2
131409,505702,2026 Q2
132001,2715529,2026 Q2
132022,1276136,2026 Q2
132023,1598182,2026 Q2
132024,404625,2026 Q2
132035,385851,2026 Q2
132036,1132096,2026 Q2
132037,2403734,2026 Q2
132039,514713,2026 Q2
132040,1038878,2026 Q2
132041,844734,2026 Q2
132046,451216,2026 Q2
132054,628147,2026 Q2
132101,2680759,2026 Q2
132102,2063197,2026 Q2
132103,8674789,2026 Q2
132104,2817793,2026 Q2
132105,3022285,2026 Q2
132106,4805512,2026 Q2
132107,623753,2026 Q2
132108,3946987,2026 Q2
132113,1001469,2026 Q2
132114,2026264,2026 Q2
132115,2074908,2026 Q2
132116,1441920,2026 Q2
132117,936444,2026 Q2
132122,1274774,2026 Q2
132140,3922726,2026 Q2
132145,2946311,2026 Q2
132157,406226,2026 Q2
133001,2298753,2026 Q2
133004,1545206,2026 Q2
133005,2465396,2026 Q2
133006,1879425,2026 Q2
133008,672627,2026 Q2
133010,2401555,2026 Q2
133101,1132539,2026 Q2
133102,667557,2026 Q2
133103,652412,2026 Q2
133104,1071439,2026 Q2
133201,569314,2026 Q2
133202,432492,2026 Q2
133203,555284,2026 Q2
133204,445887,2026 Q2
133205,470633,2026 Q2
133206,315862,2026 Q2
133207,525967,2026 Q2
133301,4720142,2026 Q2
133302,1672712,2026 Q2
134003,2742572,2026 Q2
134005,2398206,2026 Q2
134007,1942941,2026 Q2
134008,206850,2026 Q2
134101,3983417,2026 Q2
134102,2172885,2026 Q2
134104,1990627,2026 Q2
134105,4387389,2026 Q2
134107,6866962,2026 Q2
134108,6850893,2026 Q2
134109,7036922,2026 Q2
134112,6962119,2026 Q2
134113,8746048,2026 Q2
134114,7394964,2026 Q2
134116,5707637,2026 Q2
134117,6768355,2026 Q2
134118,1397591,2026 Q2
134201,786041,2026 Q2
134202,362491,2026 Q2
134203,476011,2026 Q2
134204,748096,2026 Q2
134205,145119,2026 Q2
135001,2148732,2026 Q2
135002,1790341,2026 Q2
135003,1267668,2026 Q2
135004,1838693,2026 Q2
135021,463099,2026 Q2
135101,1124355,2026 Q2
135102,303661,2026 Q2
135103,296959,2026 Q2
135106,235423,2026 Q2
135133,826549,2026 Q2
136020,341625,2026 Q2
136021,323667,2026 Q2
136026,247327,2026 Q2
136027,690439,2026 Q2
136030,204282,2026 Q2
136033,170085,2026 Q2
136034,280771,2026 Q2
136035,231728,2026 Q2
136038,1347344,2026 Q2
136042,336243,2026 Q2
136043,400493,2026 Q2
136044,211175,2026 Q2
136117,208086,2026 Q2
136118,1830341,2026 Q2
136119,1104700,2026 Q2
136128,374434,2026 Q2
136129,292180,2026 Q2
136130,412022,2026 Q2
136131,1624009,2026 Q2
136132,719293,2026 Q2
136134,1269473,2026 Q2
136135,610165,2026 Q2
136136,307797,2026 Q2
136156,816894,2026 Q2
140001,702340,2026 Q2
140101,810252,2026 Q2
140102,706513,2026 Q2
140103,1374954,2026 Q2
140108,386555,2026 Q2
140109,1224207,2026 Q2
140110,1789473,2026 Q2
140111,190065,2026 Q2
140112,279964,2026 Q2
140113,551786,2026 Q2
140114,431670,2026 Q2
140115,286980,2026 Q2
140116,269176,2026 Q2
140117,228541,2026 Q2
140118,333712,2026 Q2
140119,278115,2026 Q2
140123,242402,2026 Q2
140124,457837,2026 Q2
140125,376025,2026 Q2
140126,474595,2026 Q2
140127,319433,2026 Q2
140128,170044,2026 Q2
140133,265416,2026 Q2
140201,5931330,2026 Q2
140301,6999770,2026 Q2
140306,6819244,2026 Q2
140307,4355292,2026 Q2
140308,9160146,2026 Q2
140401,788711,2026 Q2
140402,779975,2026 Q2
140405,563961,2026 Q2
140406,738087,2026 Q2
140408,459959,2026 Q2
140412,664745,2026 Q2
140413,3033114,2026 Q2
140417,1213439,2026 Q2
140501,1531343,2026 Q2
140506,2424737,2026 Q2
140507,2884874,2026 Q2
140601,1675285,2026 Q2
140602,575803,2026 Q2
140603,7937673,2026 Q2
140604,8950827,2026 Q2
140701,617107,2026 Q2
140702,610371,2026 Q2
140802,408615,2026 Q2
140901,4442885,2026 Q2
141001,8165702,2026 Q2
141003,8901273,2026 Q2
141008,6954074,2026 Q2
141101,567383,2026 Q2
141102,679924,2026 Q2
141103,574483,2026 Q2
141104,283615,2026 Q2
141105,269489,2026 Q2
141106,239661,2026 Q2
141107,206416,2026 Q2
141108,185915,2026 Q2
141109,136110,2026 Q2
141110,525273,2026 Q2
141112,2321827,2026 Q2
141113,509520,2026 Q2
141114,304125,2026 Q2
141115,239222,2026 Q2
141116,3556986,2026 Q2
141117,468994,2026 Q2
141118,603309,2026 Q2
141119,207291,2026 Q2
141120,4456679,2026 Q2
141121,184073,2026 Q2
141122,5177209,2026 Q2
141123,7871901,2026 Q2
141125,236351,2026 Q2
141126,449092,2026 Q2
141127,1302836,2026 Q2
141201,2532701,2026 Q2
141202,456181,2026 Q2
141203,536602,2026 Q2
141204,300441,2026 Q2
141205,177452,2026 Q2
141206,3786974,2026 Q2
141401,939709,2026 Q2
141411,565819,2026 Q2
141412,515614,2026 Q2
141413,171301,2026 Q2
141414,327131,2026 Q2
141415,102028,2026 Q2
141416,513014,2026 Q2
141417,607977,2026 Q2
141418,1625365,2026 Q2
141419,490672,2026 Q2
141421,1653792,2026 Q2
141801,216592,2026 Q2
142001,1014063,2026 Q2
142002,297951,2026 Q2
142003,528407,2026 Q2
142011,469744,2026 Q2
142021,3291844,2026 Q2
142022,4341112,2026 Q2
142023,239191,2026 Q2
142024,207761,2026 Q2
142025,191122,2026 Q2
142026,217822,2026 Q2
142027,3799566,2026 Q2
142029,1607010,2026 Q2
142030,217165,2026 Q2
142031,91576,2026 Q2
142032,135199,2026 Q2
142033,117595,2026 Q2
142034,168128,2026 Q2
142035,103290,2026 Q2
142036,146949,2026 Q2
142037,102894,2026 Q2
142038,105304,2026 Q2
142039,99454,2026 Q2
142040,257946,2026 Q2
142041,214575,2026 Q2
142042,108436,2026 Q2
142043,164385,2026 Q2
142044,177252,2026 Q2
142045,90884,2026 Q2
142046,104024,2026 Q2
142047,155890,2026 Q2
142048,132337,2026 Q2
142049,76066,2026 Q2
142050,149804,2026 Q2
142052,81932,2026 Q2
142053,216111,2026 Q2
142054,230162,2026 Q2
142055,126430,2026 Q2
142056,211079,2026 Q2
142057,90231,2026 Q2
142058,88965,2026 Q2
142060,90825,2026 Q2
143001,3033297,2026 Q2
143002,2862791,2026 Q2
143005,3005778,2026 Q2
143006,3171675,2026 Q2
143008,3093381,2026 Q2
143009,1463332,2026 Q2
143022,2288406,2026 Q2
143101,1410574,2026 Q2
143102,199687,2026 Q2
143103,173304,2026 Q2
143105,1129417,2026 Q2
143107,817447,2026 Q2
143108,141578,2026 Q2
143109,117492,2026 Q2
143111,422710,2026 Q2
143112,390023,2026 Q2
143113,1330404,2026 Q2
143114,276475,2026 Q2
143115,758012,2026 Q2
143116,311233,2026 Q2
143117,266550,2026 Q2
143118,215131,2026 Q2
143119,329829,2026 Q2
143149,404641,2026 Q2
143201,343352,2026 Q2
143202,408437,2026 Q2
143203,289823,2026 Q2
143204,376539,2026 Q2
143205,350651,2026 Q2
143301,385369,2026 Q2
143302,285477,2026 Q2
143303,261282,2026 Q2
143304,195258,2026 Q2
143305,141407,2026 Q2
143401,436740,2026 Q2
143402,822242,2026 Q2
143406,372229,2026 Q2
143407,218133,2026 Q2
143408,170068,2026 Q2
143409,235759,2026 Q2
143410,226895,2026 Q2
143411,283820,2026 Q2
143412,171801,2026 Q2
143413,972524,2026 Q2
143414,115877,2026 Q2
143415,346327,2026 Q2
143416,197126,2026 Q2
143419,159194,2026 Q2
143422,212895,2026 Q2
143501,1462638,2026 Q2
143502,509033,2026 Q2
143504,242907,2026 Q2
143505,668923,2026 Q2
143506,421833,2026 Q2
143507,369578,2026 Q2
143511,294917,2026 Q2
143512,167451,2026 Q2
143513,165311,2026 Q2
143514,217723,2026 Q2
143515,185124,2026 Q2
143516,445240,2026 Q2
143517,263447,2026 Q2
143518,427667,2026 Q2
143519,331704,2026 Q2
143520,374337,2026 Q2
143521,681231,2026 Q2
143525,207835,2026 Q2
143526,228497,2026 Q2
143527,242675,2026 Q2
143528,338120,2026 Q2
143529,517402,2026 Q2
143530,644052,2026 Q2
143531,559938,2026 Q2
143532,393422,2026 Q2
143533,405550,2026 Q2
143534,446447,2026 Q2
143601,527373,2026 Q2
143602,161069,2026 Q2
143603,97900,2026 Q2
143604,147335,2026 Q2
143605,183317,2026 Q2
143606,195417,2026 Q2
144001,6165921,2026 Q2
144002,2144860,2026 Q2
144005,3656570,2026 Q2
144008,2591904,2026 Q2
144020,2151830,2026 Q2
144024,3116183,2026 Q2
144025,1936047,2026 Q2
144026,2367752,2026 Q2
144028,1163858,2026 Q2
144029,517168,2026 Q2
144030,487776,2026 Q2
144031,680338,2026 Q2
144032,2590754,2026 Q2
144033,1465620,2026 Q2
144034,576839,2026 Q2
144035,267734,2026 Q2
144036,210159,2026 Q2
144037,516708,2026 Q2
144039,154701,2026 Q2
144040,226923,2026 Q2
