pincode,bank_branches_per_lakh,deposits_per_capita
282009,,45275.0
283122,,141693.0
283119,,45275.0
402004,,558083.0
283125,,141693.0
283202,,141693.0
282001,,45275.0
440021,,570000.0
D212378,,220000.0
D862485,,220000.0
304001,,177449.0
D989489,,220000.0
D171306,,220000.0
791120,,220000.0
D905581,,220000.0
792110,,220000.0
673574,,195034.0
625520,,239795.0
174316,,220000.0
583103,,320000.0
249401,,187840.0
577101,,320000.0
D963453,,220000.0
182202,,220000.0
D734356,,220000.0
521156,,179847.0
342001,,177449.0
797004,,220000.0
D939856,,220000.0
192129,,220000.0
123500,,132566.0
301401,,42770.0
301407,,42770.0
124001,,957069.0
124021,,132566.0
124029,,1839036.0
124401,,132566.0
124022,,132566.0
124505,,1839036.0
124514,,1839036.0
124107,,132566.0
301707,,42770.0
301702,,42770.0
123200,,132566.0
127201,,132566.0
123308,,555491.0
333029,,42770.0
331305,,42770.0
124010,,782443.0
136118,,53026.0
416211,,570000.0
D958603,,220000.0
172116,,220000.0
D458966,,220000.0
790102,,220000.0
562130,,320000.0
D118911,,220000.0
792001,,220000.0
D939729,,220000.0
144001,,211819.0
797112,,220000.0
678642,,195034.0
712306,,195833.0
D632781,,220000.0
143518,,211819.0
152004,,211819.0
D692292,,220000.0
627502,,239795.0
D371822,,220000.0
144208,,211819.0
391760,,215816.0
180017,,220000.0
635116,,239795.0
D832760,,220000.0
D155696,,220000.0
791118,,220000.0
533309,,179847.0
362520,,215816.0
522307,,179847.0
833219,,220000.0
676121,,195034.0
752020,,220000.0
500104,,231802.0
133104,,220000.0
D731829,,220000.0
D591824,,220000.0
508377,,231802.0
770011,,220000.0
142001,,211819.0
623700,,239795.0
670593,,195034.0
791002,,220000.0
D840134,,220000.0
796321,,220000.0
D450640,,220000.0
D794154,,220000.0
632010,,239795.0
122104,,550000.0
D745712,,220000.0
D524797,,220000.0
798611,,220000.0
176002,,220000.0
D706630,,220000.0
D910402,,220000.0
201206,,187840.0
798616,,220000.0
D750446,,220000.0
D237982,,220000.0
250001,,187840.0
D534240,,220000.0
333001,,177449.0
382620,,215816.0
562104,,320000.0
828109,,220000.0
246488,,187840.0
624622,,239795.0
175021,,220000.0
D549883,,220000.0
D285577,,220000.0
D474943,,220000.0
523262,,179847.0
152026,,211819.0
D794663,,220000.0
580020,,320000.0
140118,,211819.0
563126,,320000.0
534350,,179847.0
734431,,195833.0
573118,,320000.0
D363985,,220000.0
506331,,231802.0
325203,,177449.0
D470467,,220000.0
451440,,155068.0
D726977,,220000.0
D846953,,220000.0
D552582,,220000.0
D140377,,220000.0
576124,,320000.0
D272288,,220000.0
140407,,211819.0
142023,,211819.0
151209,,211819.0
507167,,231802.0
D838687,,220000.0
226001,,187840.0
795113,,220000.0
797102,,220000.0
151503,,211819.0
799273,,220000.0
791104,,220000.0
D848859,,220000.0
D436336,,220000.0
D649886,,220000.0
D997922,,220000.0
586127,,320000.0
D782262,,220000.0
D501306,,220000.0
628001,,239795.0
D823806,,220000.0
D832430,,220000.0
D525821,,220000.0
416314,,570000.0
D447102,,220000.0
D871865,,220000.0
D609641,,220000.0
572128,,320000.0
190001,,220000.0
D582880,,220000.0
571201,,320000.0
D853564,,220000.0
792123,,220000.0
D213047,,220000.0
636700,,239795.0
263654,,187840.0
332041,,177449.0
562159,,320000.0
D877003,,220000.0
505469,,231802.0
392140,,215816.0
621804,,239795.0
604302,,239795.0
798625,,220000.0
D850617,,220000.0
524311,,179847.0
785634,,220000.0
613904,,239795.0
670721,,195034.0
D965985,,220000.0
416603,,570000.0
370427,,215816.0
614712,,239795.0
630556,,239795.0
143415,,211819.0
263145,,187840.0
313702,,177449.0
208012,,187840.0
D483105,,220000.0
383315,,215816.0
173023,,220000.0
D629957,,220000.0
305600,,177449.0
362260,,215816.0
518465,,179847.0
D966900,,220000.0
785600,,220000.0
786001,,220000.0
D248418,,220000.0
486896,,155068.0
D710636,,220000.0
D656917,,220000.0
431002,,570000.0
D808830,,220000.0
834010,,220000.0
D754715,,220000.0
D888359,,220000.0
D629821,,220000.0
792130,,220000.0
D794573,,220000.0
D254856,,220000.0
614101,,239795.0
D566928,,220000.0
303506,,177449.0
396375,,215816.0
124104,,550000.0
335803,,177449.0
D433744,,220000.0
184121,,220000.0
425116,,570000.0
795010,,220000.0
D427457,,220000.0
D344010,,220000.0
786153,,220000.0
D770954,,220000.0
577544,,320000.0
D445699,,220000.0
D890490,,220000.0
D902798,,220000.0
D958583,,220000.0
281406,,187840.0
D884563,,220000.0
D817915,,220000.0
414001,,570000.0
D340635,,220000.0
D717069,,220000.0
500023,,231802.0
126125,,550000.0
247001,,187840.0
D634761,,220000.0
284303,,45275.0
476221,,37376.0
284306,,45275.0
284302,,45275.0
285201,,45275.0
323601,,42770.0
324001,,42770.0
325001,,42770.0
323301,,42770.0
323600,,127963.0
124106,,132566.0
201102,,45275.0
250101,,45275.0
121005,,132566.0
500081,,90813.0
121009,,745472.0
110045,,206019.0
110065,,530313.0
110041,,96247.0
321023,,42770.0
321204,,42770.0
334001,,42770.0
321024,,127963.0
334005,,42770.0
122508,,1839036.0
334401,,42770.0
334402,,42770.0
334004,,42770.0
560057,,89249.0
110047,,96247.0
110035,,275351.0
412105,,137386.0
412307,,137386.0
411025,,137386.0
410005,,478389.0
412110,,137386.0
412308,,1109568.0
410505,,137386.0
411072,,345961.0
250002,,50460.0
250004,,45275.0
250205,,45275.0
250223,,45275.0
250005,,45275.0
250400,,45275.0
245101,,45275.0
250110,,45275.0
201204,,45275.0
201305,22.6,45275.0
245301,22.0,45275.0
250601,21.4,45275.0
476335,6.3,37376.0
476355,6.4,37376.0
476332,6.5,37376.0
562149,41.0,77129.0
560039,46.4,130435.0
560063,47.9,95702.0
560097,39.4,77557.0
562157,45.8,220574.0
561203,46.2,77129.0
562110,46.6,77129.0
562129,46.6,77129.0
560049,45.3,77129.0
562132,47.0,77129.0
560074,48.7,77129.0
562127,49.2,77129.0
560060,49.1,77129.0
561201,48.8,77129.0
562120,48.6,77129.0
562123,48.7,220574.0
562109,48.6,220574.0
560083,47.5,266325.0
D395541,29.0,220000.0
110053,10.7,399318.0
501511,5.2,55871.0
509218,5.1,55871.0
500005,5.1,204598.0
501505,5.2,55871.0
500089,5.1,55871.0
800081,5.1,170762.0
500097,5.1,55871.0
501301,5.2,55871.0
502319,5.1,55871.0
501359,5.1,55871.0
500101,5.1,55871.0
501512,5.2,775077.0
D367866,28.3,220000.0
124507,37.3,132566.0
124504,34.1,132566.0
122413,17.0,1839036.0
201307,25.5,45275.0
201015,23.3,45275.0
110088,28.2,402755.0
110029,47.6,279238.0
123411,9.3,132566.0
502269,5.1,55871.0
502246,5.1,55871.0
502257,5.1,775077.0
502273,5.1,55871.0
502345,5.1,55871.0
122016,42.5,143466.0
131023,23.6,53026.0
110096,31.5,275351.0
110073,30.4,96247.0
124102,26.2,132566.0
122017,45.7,1054207.0
400027,151.5,137386.0
410221,19.8,137386.0
410208,15.9,137386.0
400010,131.7,496101.0
410701,17.8,137386.0
421103,6.7,137386.0
421100,6.3,137386.0
410200,17.1,1212044.0
410102,16.3,1212044.0
421003,7.3,137386.0
421102,7.2,137386.0
D461093,11.7,220000.0
D325346,10.6,220000.0
D929596,13.4,220000.0
D944990,7.7,220000.0
413302,7.0,570000.0
D394763,19.3,220000.0
394670,6.9,215816.0
621115,7.4,239795.0
D312499,7.6,220000.0
D842180,13.2,220000.0
246439,16.3,187840.0
785621,6.4,220000.0
825402,17.9,220000.0
382711,5.3,215816.0
D982573,8.6,220000.0
761214,13.5,220000.0
D730512,12.5,220000.0
821115,17.2,220000.0
D145034,9.3,220000.0
606001,7.7,239795.0
D706767,13.2,220000.0
D790955,17.8,220000.0
D559536,5.9,220000.0
D210640,15.0,220000.0
249131,15.4,187840.0
D697137,17.0,220000.0
D501341,6.8,220000.0
D211386,9.3,220000.0
D525018,5.5,220000.0
622506,7.5,239795.0
D819057,11.2,220000.0
D890225,18.7,220000.0
843108,17.6,220000.0
795102,9.6,220000.0
783383,16.8,220000.0
844126,18.3,220000.0
D654726,7.2,220000.0
D580844,8.2,220000.0
D940778,18.2,220000.0
D170869,10.1,220000.0
582102,40.0,320000.0
D569194,13.4,220000.0
211001,21.1,187840.0
D301308,19.0,220000.0
D197112,17.0,220000.0
488051,8.6,155068.0
431806,4.4,570000.0
135103,22.7,220000.0
D331294,7.0,220000.0
D896586,10.4,220000.0
794111,16.4,220000.0
202001,21.0,187840.0
743438,19.4,195833.0
D968680,17.8,220000.0
D169177,9.5,220000.0
D523472,17.6,220000.0
D836663,15.1,220000.0
590001,38.2,320000.0
D857972,20.6,220000.0
D267452,18.1,220000.0
D952324,10.3,220000.0
191132,20.4,220000.0
D309783,12.6,220000.0
D370250,7.7,220000.0
788119,10.3,220000.0
767017,13.0,220000.0
758001,14.6,220000.0
