state,district,mpce_combined,mpce_rural,mpce_urban,mpce_p50,ppi_signal,survey_year,source
TAMIL NADU,ERODE,11228.0,9069.0,12902.0,8207.0,57.6,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
SIKKIM,WEST DISTRICT,11172.0,11172.0,0,8030.0,57.3,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
TAMIL NADU,COIMBATORE,10856.0,8565.0,11507.0,7624.0,55.2,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
GOA,NORTH GOA,10834.0,8819.0,12054.0,8699.0,55.1,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
ASSAM,KAMRUP METROPOLITAN,10690.0,4339.0,10985.0,6926.0,54.2,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
ARUNACHAL PRADESH,PAPUM PARE,10492.0,8501.0,12943.0,7616.0,52.9,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
DELHI,NEW DELHI,10470.0,0,10470.0,9674.0,52.8,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
DELHI,NORTH WEST,10444.0,8673.0,10511.0,6794.0,52.6,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
DELHI,EAST,10441.0,0,10441.0,7497.0,52.6,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
ANDAMAN &NICOBAR,NICOBARS,10306.0,10306.0,0,7082.0,51.7,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
KERALA,PATHANAMTHITTA,10247.0,9917.0,14246.0,8112.0,51.3,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
KERALA,KOTTAYAM,10157.0,9222.0,12108.0,6668.0,50.7,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
GOA,SOUTH GOA,10095.0,9372.0,10502.0,7476.0,50.3,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
MAHARASHTRA,PUNE,10073.0,6815.0,11641.0,6659.0,50.2,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
KERALA,THRISSUR,9966.0,9905.0,9985.0,6329.0,49.5,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
ARUNACHAL PRADESH,WEST KAMENG,9951.0,7714.0,12562.0,8280.0,49.4,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
KERALA,ALAPPUZHA,9806.0,8931.0,10366.0,6641.0,48.5,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
HIMACHAL PRADESH,SHIMLA,9798.0,8810.0,12643.0,6965.0,48.4,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
DELHI,CENTRAL,9791.0,0,9791.0,7467.0,48.4,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
KERALA,IDUKKI,9710.0,8823.0,16102.0,6289.0,47.9,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
PUNJAB,SAHIBZADA AJIT SINGH NAGAR,9694.0,7135.0,11781.0,7525.0,47.8,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
PUDUCHERRY,PUDUCHERRY,9683.0,8152.0,10197.0,8096.0,47.7,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
TAMIL NADU,TIRUPPUR,9628.0,9129.0,10102.0,7795.0,47.3,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
MIZORAM,KOLASIB,9610.0,7548.0,10388.0,7832.0,47.2,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
KERALA,KOLLAM,9513.0,9777.0,8961.0,7039.0,46.6,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
MADHYA PRADESH,INDORE,9509.0,4546.0,10686.0,6128.0,46.6,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
WEST BENGAL,KOLKATA,9497.0,0,9497.0,5811.0,46.5,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
TAMIL NADU,KANNIYAKUMARI,9338.0,6343.0,9644.0,5861.0,45.5,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
RAJASTHAN,JAIPUR,9235.0,6025.0,10515.0,5992.0,44.8,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
TAMIL NADU,SALEM,9230.0,7927.0,10478.0,7069.0,44.8,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
MIZORAM,AIZAWL,9175.0,7424.0,9899.0,7599.0,44.4,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
RAJASTHAN,ALWAR,9152.0,5716.0,13479.0,6276.0,44.3,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
MIZORAM,LUNGLEI,9104.0,5380.0,10627.0,7328.0,44.0,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
BIHAR,MUNGER,9102.0,12159.0,6675.0,4992.0,44.0,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
RAJASTHAN,KARAULI,9034.0,4702.0,38378.0,3776.0,43.5,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
TAMIL NADU,MADURAI,9020.0,6304.0,9947.0,6758.0,43.4,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
MIZORAM,SAIHA,8958.0,7005.0,9827.0,7027.0,43.0,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
UTTARAKAND,DEHRADUN,8896.0,7287.0,9759.0,5595.0,42.6,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
HIMACHAL PRADESH,HAMIRPUR,8839.0,8414.0,12997.0,6941.0,42.3,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
TAMIL NADU,NAMAKKAL,8821.0,8778.0,8871.0,7542.0,42.2,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
PUNJAB,KAPURTHALA,8775.0,8977.0,8212.0,6244.0,41.9,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
GUJARAT,AHMADABAD,8766.0,5010.0,9255.0,6307.0,41.8,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
MIZORAM,SERCHHIP,8761.0,6171.0,10727.0,6458.0,41.8,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
ARUNACHAL PRADESH,UPPER SUBANSIRI,8754.0,7781.0,17890.0,5728.0,41.7,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
TRIPURA,WEST TRIPURA,8703.0,7537.0,9748.0,6957.0,41.4,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
ANDAMAN &NICOBAR,NORTH  & MIDDLE ANDAMAN,8693.0,7894.0,12862.0,5541.0,41.3,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
HIMACHAL PRADESH,SOLAN,8666.0,6672.0,12682.0,6355.0,41.2,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
ANDHRA PRADESH,VISAKHAPATNAM,8648.0,5094.0,10370.0,5298.0,41.1,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
GUJARAT,SURAT,8622.0,5535.0,9090.0,6770.0,40.9,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
HARYANA,BHIWANI,8611.0,7587.0,11461.0,7548.0,40.8,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
TAMIL NADU,THIRUVALLUR,8610.0,6527.0,9479.0,6389.0,40.8,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
PUDUCHERRY,KARAIKAL,8585.0,8824.0,8365.0,7099.0,40.7,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
NAGALAND,MOKOKCHUNG,8577.0,7349.0,9474.0,7388.0,40.6,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
MAHARASHTRA,RAIGARH,8560.0,5344.0,12491.0,5668.0,40.5,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
KARNATAKA,DAKSHINA KANNADA,8549.0,6180.0,10167.0,6366.0,40.4,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
ARUNACHAL PRADESH,TAWANG,8457.0,8457.0,0,7089.0,39.8,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
PUNJAB,LUDHIANA,8397.0,6577.0,9357.0,6607.0,39.4,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
GUJARAT,ANAND,8397.0,5832.0,11955.0,6997.0,39.4,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
GUJARAT,KHEDA,8323.0,5191.0,10645.0,7355.0,39.0,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
KARNATAKA,MYSORE,8313.0,6985.0,10091.0,7105.0,38.9,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
MAHARASHTRA,NAGPUR,8309.0,5951.0,8855.0,4970.0,38.9,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
HARYANA,SIRSA,8258.0,6970.0,11182.0,6338.0,38.6,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
