pincode,mpce_combined,mpce_rural,mpce_urban,hces_ppi,hces_district,hces_state
560099,13169.0,14232.0,13034.0,70.1,BANGALORE,KARNATAKA
560103,13169.0,14232.0,13034.0,70.1,BANGALORE,KARNATAKA
141001,8397.0,6577.0,9357.0,39.4,LUDHIANA,PUNJAB
410500,6579.0,5620.0,14096.0,27.8,RATNAGIRI,MAHARASHTRA
412216,10073.0,6815.0,11641.0,50.2,PUNE,MAHARASHTRA
411001,10073.0,6815.0,11641.0,50.2,PUNE,MAHARASHTRA
411004,10073.0,6815.0,11641.0,50.2,PUNE,MAHARASHTRA
411014,10073.0,6815.0,11641.0,50.2,PUNE,MAHARASHTRA
440001,8309.0,5951.0,8855.0,38.9,NAGPUR,MAHARASHTRA
440010,8309.0,5951.0,8855.0,38.9,NAGPUR,MAHARASHTRA
440015,8309.0,5951.0,8855.0,38.9,NAGPUR,MAHARASHTRA
422009,5887.0,3419.0,7670.0,23.3,NASHIK,MAHARASHTRA
422001,5887.0,3419.0,7670.0,23.3,NASHIK,MAHARASHTRA
422003,5887.0,3419.0,7670.0,23.3,NASHIK,MAHARASHTRA
431001,,,,,CHHATRAPATI SAMBHAJINAGAR,MAHARASHTRA
431005,,,,,CHHATRAPATI SAMBHAJINAGAR,MAHARASHTRA
431003,,,,,CHHATRAPATI SAMBHAJINAGAR,MAHARASHTRA
416001,7893.0,5762.0,11653.0,36.2,KOLHAPUR,MAHARASHTRA
416008,7893.0,5762.0,11653.0,36.2,KOLHAPUR,MAHARASHTRA
416115,7893.0,5762.0,11653.0,36.2,KOLHAPUR,MAHARASHTRA
413001,5340.0,5117.0,6426.0,19.8,SOLAPUR,MAHARASHTRA
413002,5340.0,5117.0,6426.0,19.8,SOLAPUR,MAHARASHTRA
413304,5340.0,5117.0,6426.0,19.8,SOLAPUR,MAHARASHTRA
444601,5086.0,5053.0,5212.0,18.2,AMRAVATI,MAHARASHTRA
444602,5086.0,5053.0,5212.0,18.2,AMRAVATI,MAHARASHTRA
444906,5086.0,5053.0,5212.0,18.2,AMRAVATI,MAHARASHTRA
431601,5054.0,4237.0,6126.0,18.0,NANDED,MAHARASHTRA
431605,5054.0,4237.0,6126.0,18.0,NANDED,MAHARASHTRA
431602,5054.0,4237.0,6126.0,18.0,NANDED,MAHARASHTRA
123412,,,,,BAWAL,HARYANA
123106,5508.0,5388.0,5882.0,20.9,REWARI,HARYANA
301705,,,,,NEEMRANA TEHSIL,RAJASTHAN
301704,,,,,NEEMRANA TEHSIL,RAJASTHAN
123501,,,,,BAWAL,HARYANA
301708,,,,,NEEMRANA TEHSIL,RAJASTHAN
201303,,,,,DADRI,UTTAR PRADESH
301714,,,,,MANDAWAR TEHSIL,RAJASTHAN
400201,,,,,KALYAN SUBDISTRICT,MAHARASHTRA
400603,,,,,THANE SUBDISTRICT,MAHARASHTRA
400605,,,,,THANE SUBDISTRICT,MAHARASHTRA
400607,,,,,THANE SUBDISTRICT,MAHARASHTRA
400612,,,,,BHIWANDI SUBDISTRICT,MAHARASHTRA
400615,,,,,THANE SUBDISTRICT,MAHARASHTRA
401209,,,,,VASAI SUBDISTRICT,MAHARASHTRA
410210,,,,,PANVEL SUBDISTRICT,MAHARASHTRA
421302,,,,,BHIWANDI SUBDISTRICT,MAHARASHTRA
421312,,,,,WADA SUBDISTRICT,MAHARASHTRA
421503,,,,,AMBERNATH SUBDISTRICT,MAHARASHTRA
421604,,,,,SHAHAPUR SUBDISTRICT,MAHARASHTRA
110002,9791.0,0.0,9791.0,48.4,CENTRAL,DELHI
110004,9791.0,0.0,9791.0,48.4,CENTRAL,DELHI
110005,9791.0,0.0,9791.0,48.4,CENTRAL,DELHI
110007,7910.0,7753.0,7915.0,36.3,NORTH,DELHI
110008,9791.0,0.0,9791.0,48.4,CENTRAL,DELHI
110010,13844.0,9035.0,14263.0,74.4,SOUTH WEST,DELHI
110011,9791.0,0.0,9791.0,48.4,CENTRAL,DELHI
