pincode,premium_poi_per_km2
D629821,15.0
792130,15.0
D794573,15.0
D254856,15.0
614101,15.0
D566928,15.0
303506,15.0
396375,15.0
124104,1.8
335803,15.0
D433744,15.0
184121,15.0
425116,7.2
795010,15.0
D427457,15.0
D344010,15.0
786153,15.0
D770954,15.0
577544,22.5
D445699,15.0
D890490,15.0
D902798,15.0
D958583,15.0
281406,2.2
D884563,15.0
D817915,15.0
414001,7.2
D340635,15.0
D717069,15.0
500023,15.0
126125,1.8
247001,2.2
D634761,15.0
284303,0.0
476221,0.0
284306,0.0
284302,0.0
285201,0.0
323601,0.0
324001,1.8
325001,0.1
323301,0.0
323600,9.7
124106,0.0
201102,0.0
250101,0.0
121005,0.0
500081,4.3
121009,2.7
110045,3.6
110065,12.7
110041,0.2
321023,0.0
321204,0.0
334001,0.0
321024,9.7
334005,0.0
122508,15.2
334401,0.1
334402,0.1
334004,0.0
560057,4.1
110047,0.1
110035,5.3
412105,0.0
412307,0.2
411025,0.2
410005,5.7
412110,0.0
412308,17.5
410505,0.0
411072,3.7
250002,2.6
250004,0.0
250205,0.1
250223,0.1
250005,0.0
250400,0.0
245101,0.0
250110,1.5
201204,0.0
201305,0.0
245301,0.0
250601,0.0
476335,0.0
476355,0.0
476332,0.0
562149,0.5
560039,6.8
560063,4.5
560097,3.4
562157,13.7
561203,1.1
562110,0.2
562129,0.2
560049,0.3
562132,0.0
560074,0.6
562127,0.0
560060,0.9
561201,0.0
562120,0.0
562123,13.7
562109,13.7
560083,13.7
D395541,15.0
110053,8.7
501511,0.2
509218,0.1
500005,12.7
501505,0.0
500089,1.2
800081,10.7
500097,1.8
501301,0.0
502319,0.1
501359,0.0
500101,0.0
501512,12.7
D367866,15.0
124507,0.0
124504,0.0
122413,15.2
201307,1.6
201015,0.0
110088,8.8
110029,5.4
123411,0.0
502269,0.0
502246,0.0
502257,12.7
502273,0.0
502345,0.0
122016,0.3
131023,0.0
110096,5.3
110073,0.2
124102,0.0
122017,2.5
400027,0.0
410221,0.8
410208,0.1
400010,5.9
410701,0.0
421103,0.0
421100,0.2
410200,17.5
410102,17.5
421003,0.8
421102,0.2
D461093,15.0
D325346,15.0
D929596,15.0
D944990,15.0
413302,6.4
D394763,15.0
394670,15.0
621115,15.0
D312499,15.0
D842180,15.0
246439,15.0
785621,15.0
825402,15.0
382711,15.0
D982573,15.0
761214,15.0
D730512,15.0
821115,15.0
D145034,15.0
606001,15.0
D706767,15.0
D790955,15.0
D559536,15.0
D210640,15.0
249131,15.0
D697137,15.0
D501341,15.0
D211386,15.0
D525018,15.0
622506,15.0
D819057,15.0
D890225,15.0
843108,10.7
795102,15.0
783383,15.0
844126,10.7
D654726,15.0
D580844,15.0
D940778,15.0
D170869,15.0
582102,16.4
D569194,15.0
211001,15.0
D301308,15.0
D197112,15.0
488051,15.0
431806,6.4
135103,15.0
D331294,15.0
D896586,15.0
794111,15.0
202001,15.0
743438,15.0
D968680,15.0
D169177,15.0
D523472,15.0
D836663,15.0
590001,16.4
D857972,15.0
D267452,15.0
D952324,15.0
191132,15.0
D309783,15.0
D370250,15.0
788119,15.0
767017,15.0
758001,15.0
851213,10.7
D649160,15.0
D404179,15.0
D655706,15.0
784125,15.0
586101,16.4
814114,10.7
228141,15.0
224188,15.0
825316,15.0
307001,15.0
D556250,15.0
845437,10.7
841241,10.7
D191344,15.0
325218,15.0
D728927,15.0
533464,15.0
D690011,15.0
D163852,15.0
D959576,15.0
813102,10.7
D904225,15.0
798621,15.0
D912916,15.0
784505,15.0
852221,10.7
323001,15.0
841440,10.7
D146661,15.0
322024,15.0
328031,15.0
854202,10.7
742169,15.0
246762,15.0
D532364,15.0
D837649,15.0
D809540,15.0
803109,10.7
D797660,15.0
D576228,15.0
D727621,15.0
244001,15.0
781137,15.0
D408343,15.0
326039,15.0
441804,6.4
D340613,15.0
D130094,15.0
D469416,15.0
731216,15.0
781300,15.0
185101,15.0
D625702,15.0
