pincode,district,psu_branch_count
443206,BULDHANA,2
443209,BULDHANA,1
443301,BULDHANA,11
443302,BULDHANA,3
443303,BULDHANA,1
443304,BULDHANA,1
443307,BULDHANA,1
443308,BULDHANA,1
443401,BULDHANA,2
443402,BULDHANA,5
443403,BULDHANA,1
443404,BULDHANA,4
443405,BULDHANA,1
444201,BULDHANA,2
444202,BULDHANA,1
444203,BULDHANA,8
444204,BULDHANA,1
444301,BULDHANA,1
444303,BULDHANA,17
444304,BULDHANA,1
444306,BULDHANA,1
444307,BULDHANA,1
444308,BULDHANA,1
444312,BULDHANA,1
414212,CHANDRAPUR,1
420905,CHANDRAPUR,1
441205,CHANDRAPUR,5
441206,CHANDRAPUR,15
441215,CHANDRAPUR,1
441221,CHANDRAPUR,3
441222,CHANDRAPUR,2
441223,CHANDRAPUR,1
441224,CHANDRAPUR,4
441225,CHANDRAPUR,3
441226,CHANDRAPUR,2
442401,CHANDRAPUR,21
442402,CHANDRAPUR,9
442403,CHANDRAPUR,2
442404,CHANDRAPUR,3
442406,CHANDRAPUR,4
442501,CHANDRAPUR,1
442502,CHANDRAPUR,3
442503,CHANDRAPUR,2
442505,CHANDRAPUR,1
442507,CHANDRAPUR,1
442701,CHANDRAPUR,8
442702,CHANDRAPUR,4
442708,CHANDRAPUR,1
442902,CHANDRAPUR,7
442903,CHANDRAPUR,4
442904,CHANDRAPUR,1
442905,CHANDRAPUR,7
442906,CHANDRAPUR,2
442907,CHANDRAPUR,11
442908,CHANDRAPUR,6
442910,CHANDRAPUR,1
442914,CHANDRAPUR,1
442916,CHANDRAPUR,1
442917,CHANDRAPUR,1
442918,CHANDRAPUR,1
146001,CHHATRAPATI SAMBHAJINAGAR,1
423701,CHHATRAPATI SAMBHAJINAGAR,4
423702,CHHATRAPATI SAMBHAJINAGAR,3
423703,CHHATRAPATI SAMBHAJINAGAR,1
431001,CHHATRAPATI SAMBHAJINAGAR,40
431002,CHHATRAPATI SAMBHAJINAGAR,5
431003,CHHATRAPATI SAMBHAJINAGAR,18
431004,CHHATRAPATI SAMBHAJINAGAR,1
431005,CHHATRAPATI SAMBHAJINAGAR,25
431006,CHHATRAPATI SAMBHAJINAGAR,1
431007,CHHATRAPATI SAMBHAJINAGAR,6
431008,CHHATRAPATI SAMBHAJINAGAR,2
431009,CHHATRAPATI SAMBHAJINAGAR,1
431028,CHHATRAPATI SAMBHAJINAGAR,1
431101,CHHATRAPATI SAMBHAJINAGAR,3
431102,CHHATRAPATI SAMBHAJINAGAR,3
431103,CHHATRAPATI SAMBHAJINAGAR,5
431104,CHHATRAPATI SAMBHAJINAGAR,2
431105,CHHATRAPATI SAMBHAJINAGAR,10
431107,CHHATRAPATI SAMBHAJINAGAR,4
431109,CHHATRAPATI SAMBHAJINAGAR,4
431110,CHHATRAPATI SAMBHAJINAGAR,1
431111,CHHATRAPATI SAMBHAJINAGAR,4
431112,CHHATRAPATI SAMBHAJINAGAR,9
431113,CHHATRAPATI SAMBHAJINAGAR,2
431115,CHHATRAPATI SAMBHAJINAGAR,2
431116,CHHATRAPATI SAMBHAJINAGAR,4
431117,CHHATRAPATI SAMBHAJINAGAR,1
431118,CHHATRAPATI SAMBHAJINAGAR,1
431120,CHHATRAPATI SAMBHAJINAGAR,1
431121,CHHATRAPATI SAMBHAJINAGAR,6
431133,CHHATRAPATI SAMBHAJINAGAR,4
431134,CHHATRAPATI SAMBHAJINAGAR,1
431136,CHHATRAPATI SAMBHAJINAGAR,10
431137,CHHATRAPATI SAMBHAJINAGAR,3
431139,CHHATRAPATI SAMBHAJINAGAR,1
431147,CHHATRAPATI SAMBHAJINAGAR,2
431148,CHHATRAPATI SAMBHAJINAGAR,1
431150,CHHATRAPATI SAMBHAJINAGAR,2
431154,CHHATRAPATI SAMBHAJINAGAR,2
431201,CHHATRAPATI SAMBHAJINAGAR,3
431210,CHHATRAPATI SAMBHAJINAGAR,1
413405,DHARASHIV,2
413407,DHARASHIV,1
413501,DHARASHIV,16
413502,DHARASHIV,3
413503,DHARASHIV,1
413504,DHARASHIV,1
413505,DHARASHIV,1
413507,DHARASHIV,7
413508,DHARASHIV,1
413509,DHARASHIV,1
413525,DHARASHIV,1
413526,DHARASHIV,1
413534,DHARASHIV,1
413570,DHARASHIV,1
413601,DHARASHIV,7
413602,DHARASHIV,1
413603,DHARASHIV,1
413604,DHARASHIV,5
413605,DHARASHIV,2
413606,DHARASHIV,6
413608,DHARASHIV,2
243309,DHULE,1
424001,DHULE,17
424002,DHULE,8
424005,DHULE,3
424006,DHULE,2
424301,DHULE,1
424302,DHULE,3
424303,DHULE,1
424304,DHULE,7
424305,DHULE,3
424306,DHULE,4
424307,DHULE,1
424308,DHULE,1
424310,DHULE,1
424311,DHULE,2
424313,DHULE,1
424314,DHULE,1
424315,DHULE,1
424318,DHULE,2
425403,DHULE,2
425404,DHULE,2
425405,DHULE,15
425406,DHULE,4
425407,DHULE,1
425408,DHULE,8
425421,DHULE,2
425427,DHULE,1
425428,DHULE,1
425448,DHULE,1
441207,GADCHIROLI,6
441208,GADCHIROLI,3
441209,GADCHIROLI,3
441217,GADCHIROLI,1
442407,GADCHIROLI,1
442504,GADCHIROLI,1
442603,GADCHIROLI,3
442604,GADCHIROLI,1
442605,GADCHIROLI,14
442606,GADCHIROLI,3
442703,GADCHIROLI,4
442704,GADCHIROLI,1
442705,GADCHIROLI,3
442707,GADCHIROLI,3
