pincode,district,psu_branch_count
402207,RAIGAD,2
402208,RAIGAD,1
402209,RAIGAD,4
402301,RAIGAD,7
402303,RAIGAD,6
402304,RAIGAD,4
402305,RAIGAD,1
402307,RAIGAD,1
402308,RAIGAD,1
402309,RAIGAD,1
402401,RAIGAD,4
402402,RAIGAD,2
402403,RAIGAD,2
402404,RAIGAD,1
402406,RAIGAD,1
410101,RAIGAD,6
410102,RAIGAD,1
410201,RAIGAD,12
410202,RAIGAD,2
410203,RAIGAD,13
410205,RAIGAD,5
410206,RAIGAD,63
410207,RAIGAD,4
410208,RAIGAD,12
410209,RAIGAD,8
410210,RAIGAD,33
410218,RAIGAD,11
410220,RAIGAD,1
410221,RAIGAD,5
410222,RAIGAD,1
420304,RAIGAD,1
145214,RATNAGIRI,1
415202,RATNAGIRI,1
415203,RATNAGIRI,3
415204,RATNAGIRI,1
415208,RATNAGIRI,1
415416,RATNAGIRI,1
415601,RATNAGIRI,1
415602,RATNAGIRI,2
415603,RATNAGIRI,1
415604,RATNAGIRI,3
415605,RATNAGIRI,12
415606,RATNAGIRI,3
415608,RATNAGIRI,2
415610,RATNAGIRI,1
415611,RATNAGIRI,4
415612,RATNAGIRI,18
415613,RATNAGIRI,3
415614,RATNAGIRI,2
415615,RATNAGIRI,2
415616,RATNAGIRI,2
415617,RATNAGIRI,1
415618,RATNAGIRI,1
415619,RATNAGIRI,1
415620,RATNAGIRI,3
415621,RATNAGIRI,1
415628,RATNAGIRI,1
415634,RATNAGIRI,1
415636,RATNAGIRI,1
415639,RATNAGIRI,9
415640,RATNAGIRI,1
415641,RATNAGIRI,2
415701,RATNAGIRI,4
415702,RATNAGIRI,2
415703,RATNAGIRI,2
415704,RATNAGIRI,2
415706,RATNAGIRI,3
415708,RATNAGIRI,1
415709,RATNAGIRI,6
415710,RATNAGIRI,2
415711,RATNAGIRI,1
415712,RATNAGIRI,8
415713,RATNAGIRI,1
415714,RATNAGIRI,1
415716,RATNAGIRI,1
415717,RATNAGIRI,1
415718,RATNAGIRI,1
415720,RATNAGIRI,1
415722,RATNAGIRI,1
415724,RATNAGIRI,4
415726,RATNAGIRI,1
415727,RATNAGIRI,1
415728,RATNAGIRI,1
415801,RATNAGIRI,1
415803,RATNAGIRI,3
415804,RATNAGIRI,3
415805,RATNAGIRI,1
415806,RATNAGIRI,2
416701,RATNAGIRI,6
416702,RATNAGIRI,7
416705,RATNAGIRI,1
416707,RATNAGIRI,1
416713,RATNAGIRI,1
515439,RATNAGIRI,1
413311,SANGLI,1
415301,SANGLI,5
415302,SANGLI,1
415303,SANGLI,1
415304,SANGLI,4
415305,SANGLI,1
415307,SANGLI,1
415308,SANGLI,2
415310,SANGLI,2
415311,SANGLI,6
415313,SANGLI,1
415404,SANGLI,3
415405,SANGLI,4
415406,SANGLI,1
415407,SANGLI,1
415408,SANGLI,3
415409,SANGLI,6
415410,SANGLI,1
415411,SANGLI,1
415412,SANGLI,2
415413,SANGLI,1
415418,SANGLI,1
416301,SANGLI,5
416303,SANGLI,2
416304,SANGLI,2
416305,SANGLI,1
416306,SANGLI,1
416307,SANGLI,1
416308,SANGLI,1
416309,SANGLI,1
416310,SANGLI,5
416312,SANGLI,10
416313,SANGLI,2
416317,SANGLI,1
416319,SANGLI,1
416321,SANGLI,1
416401,SANGLI,1
416402,SANGLI,2
416403,SANGLI,3
416404,SANGLI,7
416405,SANGLI,3
416406,SANGLI,2
416407,SANGLI,1
416409,SANGLI,1
416410,SANGLI,14
416411,SANGLI,1
416412,SANGLI,5
416413,SANGLI,4
416414,SANGLI,1
416415,SANGLI,4
416416,SANGLI,29
416417,SANGLI,1
416419,SANGLI,1
416420,SANGLI,1
416423,SANGLI,1
416428,SANGLI,1
416436,SANGLI,2
412801,SATARA,9
412802,SATARA,5
412803,SATARA,5
412804,SATARA,1
412805,SATARA,3
412806,SATARA,3
415001,SATARA,17
415002,SATARA,12
415003,SATARA,1
415004,SATARA,4
415011,SATARA,1
415012,SATARA,1
415013,SATARA,1
415014,SATARA,1
415015,SATARA,3
415017,SATARA,1
415019,SATARA,1
415021,SATARA,1
415102,SATARA,1
415103,SATARA,2
415104,SATARA,1
415105,SATARA,1
415106,SATARA,1
415107,SATARA,1
415109,SATARA,4
415110,SATARA,17
415112,SATARA,3
415114,SATARA,1
415115,SATARA,1
415116,SATARA,2
415118,SATARA,1
415119,SATARA,1
415122,SATARA,1
415124,SATARA,4
415205,SATARA,2
415206,SATARA,2
415212,SATARA,1
415312,SATARA,1
415501,SATARA,6
415502,SATARA,2
415503,SATARA,1
415504,SATARA,1
415505,SATARA,1
415506,SATARA,4
415508,SATARA,8
415509,SATARA,3
415510,SATARA,2
415511,SATARA,2
415512,SATARA,1
415513,SATARA,2
415514,SATARA,1
415515,SATARA,2
415519,SATARA,5
415521,SATARA,4
415522,SATARA,1
415523,SATARA,12
415524,SATARA,2
415525,SATARA,1
415528,SATARA,2
415530,SATARA,1
415538,SATARA,1
415539,SATARA,2
416510,SINDHUDURG,12
416511,SINDHUDURG,3
416512,SINDHUDURG,4
416513,SINDHUDURG,1
416514,SINDHUDURG,1
416516,SINDHUDURG,7
416517,SINDHUDURG,1
416518,SINDHUDURG,3
416519,SINDHUDURG,3
416520,SINDHUDURG,12
416521,SINDHUDURG,1
416522,SINDHUDURG,1
416523,SINDHUDURG,2
416524,SINDHUDURG,1
416525,SINDHUDURG,1
416528,SINDHUDURG,1
416529,SINDHUDURG,1
416534,SINDHUDURG,1
416538,SINDHUDURG,1
416601,SINDHUDURG,3
416602,SINDHUDURG,9
416603,SINDHUDURG,2
416604,SINDHUDURG,1
416605,SINDHUDURG,1
416606,SINDHUDURG,7
416608,SINDHUDURG,1
416609,SINDHUDURG,1
416610,SINDHUDURG,1
416611,SINDHUDURG,2
416612,SINDHUDURG,2
416613,SINDHUDURG,3
416614,SINDHUDURG,2
416615,SINDHUDURG,1
416623,SINDHUDURG,1
416703,SINDHUDURG,2
416801,SINDHUDURG,3
416804,SINDHUDURG,2
416805,SINDHUDURG,1
416806,SINDHUDURG,1
416810,SINDHUDURG,3
416812,SINDHUDURG,5
416813,SINDHUDURG,1
141001,SOLAPUR,1
413001,SOLAPUR,19
413002,SOLAPUR,15
413003,SOLAPUR,11
413004,SOLAPUR,11
413005,SOLAPUR,4
413006,SOLAPUR,2
413007,SOLAPUR,1
413008,SOLAPUR,1
413101,SOLAPUR,9
413107,SOLAPUR,3
413108,SOLAPUR,1
413109,SOLAPUR,5
413112,SOLAPUR,2
413113,SOLAPUR,2
413202,SOLAPUR,4
413203,SOLAPUR,8
413206,SOLAPUR,1
413208,SOLAPUR,6
413209,SOLAPUR,3
413210,SOLAPUR,2
413211,SOLAPUR,8
413212,SOLAPUR,1
413213,SOLAPUR,5
413214,SOLAPUR,2
413215,SOLAPUR,3
413216,SOLAPUR,6
413217,SOLAPUR,1
413218,SOLAPUR,2
413220,SOLAPUR,2
413221,SOLAPUR,5
413222,SOLAPUR,5
413223,SOLAPUR,1
413226,SOLAPUR,2
413227,SOLAPUR,1
413228,SOLAPUR,2
413229,SOLAPUR,1
413235,SOLAPUR,1
413245,SOLAPUR,1
413248,SOLAPUR,2
413251,SOLAPUR,1
413252,SOLAPUR,1
413253,SOLAPUR,1
413255,SOLAPUR,2
413301,SOLAPUR,3
413302,SOLAPUR,1
413303,SOLAPUR,1
413304,SOLAPUR,17
413305,SOLAPUR,7
413306,SOLAPUR,4
413307,SOLAPUR,7
413309,SOLAPUR,3
413310,SOLAPUR,1
413314,SOLAPUR,1
413317,SOLAPUR,1
413318,SOLAPUR,1
413319,SOLAPUR,1
413322,SOLAPUR,2
413401,SOLAPUR,6
413402,SOLAPUR,2
413403,SOLAPUR,1
413404,SOLAPUR,2
413406,SOLAPUR,1
413409,SOLAPUR,1
413411,SOLAPUR,2
110092,THANE,1
400210,THANE,1
400512,THANE,1
400601,THANE,21
400602,THANE,19
400603,THANE,7
400604,THANE,17
400605,THANE,7
400606,THANE,5
400607,THANE,16
400608,THANE,2
400610,THANE,10
400612,THANE,8
400614,THANE,17
400615,THANE,5
400616,THANE,1
400701,THANE,11
400703,THANE,29
400705,THANE,21
400706,THANE,36
400708,THANE,19
400709,THANE,13
400710,THANE,1
401101,THANE,12
401105,THANE,10
401106,THANE,1
401107,THANE,22
401204,THANE,1
401206,THANE,2
402302,THANE,2
402709,THANE,1
404104,THANE,1
410710,THANE,1
421001,THANE,3
421002,THANE,5
421003,THANE,9
421004,THANE,8
421005,THANE,5
421101,THANE,4
421102,THANE,3
421103,THANE,4
421201,THANE,25
421202,THANE,12
421203,THANE,3
421204,THANE,7
421301,THANE,30
421302,THANE,26
421304,THANE,1
421305,THANE,1
421306,THANE,9
421308,THANE,5
421311,THANE,3
421401,THANE,5
421402,THANE,4
421403,THANE,2
421501,THANE,16
421502,THANE,1
421503,THANE,25
421506,THANE,2
421601,THANE,12
421602,THANE,1
421604,THANE,1
421605,THANE,7
432302,WARDHA,1
440201,WARDHA,1
442001,WARDHA,27
442003,WARDHA,1
442004,WARDHA,1
442005,WARDHA,1
442006,WARDHA,1
442101,WARDHA,7
442102,WARDHA,3
442103,WARDHA,1
442104,WARDHA,4
442105,WARDHA,4
442106,WARDHA,1
442109,WARDHA,2
442111,WARDHA,1
442115,WARDHA,1
442120,WARDHA,1
442201,WARDHA,8
442202,WARDHA,5
442203,WARDHA,5
442204,WARDHA,1
442207,WARDHA,1
442211,WARDHA,1
442213,WARDHA,1
442301,WARDHA,17
442302,WARDHA,4
442304,WARDHA,2
442305,WARDHA,4
442306,WARDHA,3
442307,WARDHA,2
442312,WARDHA,1
442509,WARDHA,1
444105,WASHIM,7
444110,WASHIM,2
444122,WASHIM,1
444402,WASHIM,2
444403,WASHIM,5
444404,WASHIM,3
444406,WASHIM,1
444503,WASHIM,5
444504,WASHIM,3
444505,WASHIM,15
444506,WASHIM,5
444507,WASHIM,2
444510,WASHIM,1
444512,WASHIM,1
445001,YAVATMAL,21
445002,YAVATMAL,1
445004,YAVATMAL,1
445034,YAVATMAL,1
445101,YAVATMAL,4
445102,YAVATMAL,6
445103,YAVATMAL,4
445105,YAVATMAL,2
445106,YAVATMAL,1
445108,YAVATMAL,1
445109,YAVATMAL,3
445110,YAVATMAL,1
445126,YAVATMAL,1
445201,YAVATMAL,1
445202,YAVATMAL,7
445203,YAVATMAL,5
445204,YAVATMAL,9
445205,YAVATMAL,4
445206,YAVATMAL,5
445207,YAVATMAL,2
445208,YAVATMAL,1
445209,YAVATMAL,1
445210,YAVATMAL,1
445211,YAVATMAL,1
445214,YAVATMAL,1
445230,YAVATMAL,1
445301,YAVATMAL,2
445302,YAVATMAL,2
445303,YAVATMAL,2
445304,YAVATMAL,18
445305,YAVATMAL,4
445306,YAVATMAL,1
445307,YAVATMAL,2
445308,YAVATMAL,1
445318,YAVATMAL,1
445319,YAVATMAL,1
445323,YAVATMAL,3
445401,YAVATMAL,5
445402,YAVATMAL,4
